"Station Name","MONTREAL INTL A"
"Province","QUEBEC"
"Latitude","45.47"
"Longitude","-73.74"
"Elevation","36.00"
"Climate Identifier","7025251"
"WMO Identifier","71627"
"TC Identifier","YUL"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2016-04-01 00:00","2016","04","01","00:00","15.7","","10.1","","69","","18","","23","","24.1","","99.11","","","","","","NA"
"2016-04-01 01:00","2016","04","01","01:00","16.3","","10.5","","68","","18","","22","","24.1","","98.98","","","","","","Cloudy"
"2016-04-01 02:00","2016","04","01","02:00","14.4","","10.5","","77","","17","","15","","24.1","","99.00","","","","","","Rain Showers"
"2016-04-01 03:00","2016","04","01","03:00","14.3","","10.6","","78","","22","","33","","24.1","","99.09","","","","","","NA"
"2016-04-01 04:00","2016","04","01","04:00","13.3","","10.5","","83","","21","","29","","24.1","","99.09","","","","","","Cloudy"
"2016-04-01 05:00","2016","04","01","05:00","13.3","","10.9","","85","","23","","36","","19.3","","99.17","","","","","","Rain Showers"
"2016-04-01 06:00","2016","04","01","06:00","12.6","","10.7","","88","","23","","41","","24.1","","99.17","","","","","","Rain Showers"
"2016-04-01 07:00","2016","04","01","07:00","12.1","","10.7","","91","","21","","21","","24.1","","99.17","","","","","","Mostly Cloudy"
"2016-04-01 08:00","2016","04","01","08:00","11.1","","9.9","","92","","21","","20","","16.1","","99.17","","","","","","Rain Showers"
"2016-04-01 09:00","2016","04","01","09:00","11.1","","10.0","","93","","21","","18","","24.1","","99.17","","","","","","NA"
"2016-04-01 10:00","2016","04","01","10:00","11.7","","10.8","","94","","21","","16","","24.1","","99.15","","","","","","Cloudy"
