"Station Name","MONTREAL INTL A"
"Province","QUEBEC"
"Latitude","45.47"
"Longitude","-73.74"
"Elevation","36.00"
"Climate Identifier","7025251"
"WMO Identifier","71627"
"TC Identifier","YUL"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2017-08-01 00:00","2017","08","01","00:00","19.6","","14.1","","70","","31","","10","","24.1","","101.23","","","","","","NA"
"2017-08-01 01:00","2017","08","01","01:00","18.0","","14.1","","77","","34","","3","","24.1","","101.23","","","","","","Clear"
"2017-08-01 02:00","2017","08","01","02:00","17.8","","13.9","","78","","31","","4","","24.1","","101.27","","","","","","NA"
"2017-08-01 03:00","2017","08","01","03:00","16.4","","13.5","","83","","0","","1","","24.1","","101.26","","","","","","NA"
"2017-08-01 04:00","2017","08","01","04:00","15.2","","13.6","","90","","35","","5","","24.1","","101.27","","","","","","Clear"
"2017-08-01 05:00","2017","08","01","05:00","14.6","","13.2","","91","","27","","3","","48.3","","101.32","","","","","","NA"
"2017-08-01 06:00","2017","08","01","06:00","17.4","","14.4","","83","","32","","3","","48.3","","101.37","","","","","","NA"
"2017-08-01 07:00","2017","08","01","07:00","19.6","","14.0","","70","","31","","5","","48.3","","101.40","","","","","","Mostly Cloudy"
"2017-08-01 08:00","2017","08","01","08:00","20.3","","14.1","","67","","35","","8","","24.1","","101.42","","","","","","NA"
"2017-08-01 09:00","2017","08","01","09:00","22.4","","12.2","","52","","35","","3","","24.1","","101.40","","25","","","","NA"
"2017-08-01 10:00","2017","08","01","10:00","23.7","","12.6","","49","","35","","3","","48.3","","101.39","","26","","","","Mainly Clear"
"2017-08-01 11:00","2017","08","01","11:00","25.0","","14.1","","50","","20","","7","","48.3","","101.38","","28","","","","NA"
"2017-08-01 12:00","2017","08","01","12:00","25.3","","13.4","","47","","24","","4","","48.3","","101.34","","28","","","","NA"
"2017-08-01 13:00","2017","08","01","13:00","26.4","","13.5","","44","","22","","10","","48.3","","101.30","","29","","","","Mainly Clear"
"2017-08-01 14:00","2017","08","01","14:00","27.1","","14.3","","45","","19","","13","","48.3","","101.27","","31","","","","NA"
"2017-08-01 15:00","2017","08","01","15:00","27.3","","14.4","","44","","22","","10","","48.3","","101.23","","31","","","","NA"
"2017-08-01 16:00","2017","08","01","16:00","27.2","","13.4","","42","","21","","13","","48.3","","101.16","","30","","","","Mainly Clear"
"2017-08-01 17:00","2017","08","01","17:00","26.9","","14.1","","45","","20","","14","","48.3","","101.13","","30","","","","NA"
"2017-08-01 18:00","2017","08","01","18:00","26.3","","13.7","","45","","20","","14","","48.3","","101.14","","29","","","","NA"
"2017-08-01 19:00","2017","08","01","19:00","25.2","","14.6","","51","","21","","9","","48.3","","101.17","","29","","","","Mainly Clear"
"2017-08-01 20:00","2017","08","01","20:00","23.1","","15.6","","62","","23","","5","","24.1","","101.20","","27","","","","NA"
"2017-08-01 21:00","2017","08","01","21:00","22.1","","15.2","","65","","36","","1","","24.1","","101.22","","26","","","","NA"
"2017-08-01 22:00","2017","08","01","22:00","22.0","","14.6","","62","","15","","11","","24.1","","101.21","","26","","","","Mainly Clear"
"2017-08-01 23:00","2017","08","01","23:00","21.4","","14.9","","66","","15","","14","","24.1","","101.20","","25","","","","NA"
"2017-08-02 00:00","2017","08","02","00:00","21.1","","15.1","","68","","17","","7","","24.1","","101.20","","25","","","","NA"
"2017-08-02 01:00","2017","08","02","01:00","20.6","","14.4","","67","","17","","9","","24.1","","101.18","","","","","","Mainly Clear"
"2017-08-02 02:00","2017","08","02","02:00","20.6","","15.1","","70","","18","","9","","24.1","","101.17","","25","","","","NA"
"2017-08-02 03:00","2017","08","02","03:00","20.0","","15.1","","73","","18","","8","","24.1","","101.15","","","","","","NA"
"2017-08-02 04:00","2017","08","02","04:00","19.1","","16.0","","82","","21","","5","","24.1","","101.18","","","","","","Clear"
"2017-08-02 05:00","2017","08","02","05:00","17.9","","15.6","","86","","36","","2","","24.1","","101.21","","","","","","NA"
"2017-08-02 06:00","2017","08","02","06:00","20.3","","17.3","","83","","28","","4","","24.1","","101.23","","26","","","","NA"
"2017-08-02 07:00","2017","08","02","07:00","21.9","","17.4","","76","","22","","7","","24.1","","101.26","","27","","","","Mainly Clear"
"2017-08-02 08:00","2017","08","02","08:00","23.4","","18.3","","73","","19","","8","","24.1","","101.27","","30","","","","NA"
"2017-08-02 09:00","2017","08","02","09:00","24.3","","18.5","","70","","18","","13","","24.1","","101.27","","31","","","","NA"
"2017-08-02 10:00","2017","08","02","10:00","25.6","","19.7","","69","","18","","14","","24.1","","101.25","","33","","","","Mostly Cloudy"
"2017-08-02 11:00","2017","08","02","11:00","26.7","","20.0","","66","","20","","17","","24.1","","101.23","","34","","","","NA"
"2017-08-02 12:00","2017","08","02","12:00","27.8","","19.5","","60","","21","","17","","24.1","","101.18","","35","","","","NA"
"2017-08-02 13:00","2017","08","02","13:00","28.7","","20.1","","59","","19","","16","","24.1","","101.11","","36","","","","Mostly Cloudy"
"2017-08-02 14:00","2017","08","02","14:00","28.3","","19.7","","59","","22","","15","","24.1","","101.05","","36","","","","NA"
"2017-08-02 15:00","2017","08","02","15:00","29.5","","19.0","","52","","23","","14","","24.1","","101.00","","36","","","","NA"
"2017-08-02 16:00","2017","08","02","16:00","29.5","","19.0","","53","","23","","16","","24.1","","100.99","","36","","","","Mostly Cloudy"
"2017-08-02 17:00","2017","08","02","17:00","29.2","","17.4","","48","","22","","12","","24.1","","100.95","","35","","","","NA"
"2017-08-02 18:00","2017","08","02","18:00","26.9","","18.3","","59","","17","","24","","24.1","","101.02","","33","","","","NA"
"2017-08-02 19:00","2017","08","02","19:00","25.2","","18.1","","64","","17","","10","","24.1","","101.01","","31","","","","Mostly Cloudy"
"2017-08-02 20:00","2017","08","02","20:00","25.2","","18.6","","66","","20","","14","","24.1","","101.09","","32","","","","NA"
"2017-08-02 21:00","2017","08","02","21:00","24.9","","17.5","","63","","31","","13","","24.1","","101.16","","31","","","","NA"
"2017-08-02 22:00","2017","08","02","22:00","22.8","","17.5","","72","","6","","14","","24.1","","101.15","","28","","","","Mostly Cloudy"
"2017-08-02 23:00","2017","08","02","23:00","21.7","","17.7","","78","","11","","16","","24.1","","101.19","","27","","","","NA"
