"Station Name","MONTREAL INTL A"
"Province","QUEBEC"
"Current Station Operator","NAV Canada"
"Latitude","45.47"
"Longitude","-73.74"
"Elevation","36.00"
"Climate Identifier","7025251"
"WMO Identifier","71627"
"TC Identifier","YUL"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-08-01 00:00","2018","08","01","00:00","23.6","","18.3","","72","","15","","8","","24.1","","101.29","","30","","","","NA"
"2018-08-01 01:00","2018","08","01","01:00","23.0","","17.7","","72","","13","","13","","24.1","","101.24","","29","","","","Cloudy"
"2018-08-01 02:00","2018","08","01","02:00","22.6","","17.8","","74","","14","","7","","24.1","","101.23","","28","","","","NA"
"2018-08-01 03:00","2018","08","01","03:00","22.7","","18.1","","75","","14","","10","","24.1","","101.26","","29","","","","NA"
"2018-08-01 04:00","2018","08","01","04:00","22.5","","17.8","","75","","14","","9","","24.1","","101.21","","28","","","","Cloudy"
"2018-08-01 05:00","2018","08","01","05:00","22.5","","17.8","","74","","14","","12","","48.3","","101.22","","28","","","","NA"
"2018-08-01 06:00","2018","08","01","06:00","22.9","","17.8","","72","","14","","14","","48.3","","101.21","","29","","","","NA"
"2018-08-01 07:00","2018","08","01","07:00","23.0","","18.1","","74","","15","","17","","48.3","","101.20","","29","","","","Cloudy"
"2018-08-01 08:00","2018","08","01","08:00","23.9","","18.9","","73","","16","","13","","48.3","","101.18","","31","","","","NA"
"2018-08-01 09:00","2018","08","01","09:00","23.9","","18.8","","73","","14","","17","","24.1","","101.12","","31","","","","NA"
"2018-08-01 10:00","2018","08","01","10:00","24.2","","19.4","","74","","15","","17","","24.1","","101.11","","31","","","","Cloudy"
"2018-08-01 11:00","2018","08","01","11:00","25.1","","19.7","","71","","16","","16","","24.1","","101.04","","32","","","","NA"
"2018-08-01 12:00","2018","08","01","12:00","26.6","","20.2","","68","","14","","18","","24.1","","101.00","","34","","","","NA"
"2018-08-01 13:00","2018","08","01","13:00","27.3","","19.8","","63","","16","","25","","24.1","","100.93","","35","","","","Mostly Cloudy"
"2018-08-01 14:00","2018","08","01","14:00","27.4","","20.2","","64","","15","","27","","24.1","","100.90","","35","","","","NA"
"2018-08-01 15:00","2018","08","01","15:00","28.2","","21.5","","66","","16","","22","","24.1","","100.86","","37","","","","NA"
"2018-08-01 16:00","2018","08","01","16:00","27.3","","21.0","","68","","14","","21","","24.1","","100.84","","36","","","","Mostly Cloudy"
"2018-08-01 17:00","2018","08","01","17:00","26.8","","21.0","","70","","15","","21","","24.1","","100.82","","35","","","","NA"
"2018-08-01 18:00","2018","08","01","18:00","26.5","","21.3","","73","","14","","21","","48.3","","100.76","","35","","","","NA"
"2018-08-01 19:00","2018","08","01","19:00","26.1","","21.1","","73","","16","","23","","48.3","","100.74","","35","","","","Cloudy"
"2018-08-01 20:00","2018","08","01","20:00","25.3","","21.2","","78","","16","","21","","24.1","","100.75","","34","","","","Rain Showers"
"2018-08-01 21:00","2018","08","01","21:00","25.1","","21.0","","78","","16","","18","","24.1","","100.76","","34","","","","NA"
"2018-08-01 22:00","2018","08","01","22:00","22.8","","21.9","","95","","18","","18","","6.4","","100.81","","32","","","","Rain Showers,Fog"
"2018-08-01 23:00","2018","08","01","23:00","23.2","","21.9","","93","","17","","16","","24.1","","100.79","","32","","","","NA"
"2018-08-02 00:00","2018","08","02","00:00","23.4","","21.8","","91","","19","","17","","19.3","","100.79","","33","","","","Rain Showers"
"2018-08-02 01:00","2018","08","02","01:00","22.2","","21.1","","93","","21","","21","","24.1","","100.79","","31","","","","Cloudy"
"2018-08-02 02:00","2018","08","02","02:00","22.9","","21.3","","90","","20","","16","","24.1","","100.73","","32","","","","NA"
"2018-08-02 03:00","2018","08","02","03:00","22.8","","20.9","","89","","20","","20","","24.1","","100.72","","31","","","","NA"
"2018-08-02 04:00","2018","08","02","04:00","22.6","","20.4","","87","","23","","24","","24.1","","100.76","","31","","","","Cloudy"
"2018-08-02 05:00","2018","08","02","05:00","22.7","","20.2","","86","","22","","28","","24.1","","100.79","","30","","","","NA"
"2018-08-02 06:00","2018","08","02","06:00","22.6","","19.6","","83","","24","","28","","24.1","","100.89","","30","","","","NA"
"2018-08-02 07:00","2018","08","02","07:00","23.6","","18.8","","74","","24","","31","","24.1","","100.93","","30","","","","Mostly Cloudy"
"2018-08-02 08:00","2018","08","02","08:00","23.2","","19.1","","77","","23","","31","","24.1","","101.02","","30","","","","NA"
"2018-08-02 09:00","2018","08","02","09:00","24.2","","18.8","","71","","25","","33","","24.1","","101.05","","31","","","","NA"
"2018-08-02 10:00","2018","08","02","10:00","24.4","","18.9","","71","","24","","27","","24.1","","101.09","","31","","","","Cloudy"
"2018-08-02 11:00","2018","08","02","11:00","25.0","","18.4","","66","","27","","27","","24.1","","101.12","","31","","","","NA"
"2018-08-02 12:00","2018","08","02","12:00","25.5","","18.3","","64","","25","","31","","24.1","","101.11","","32","","","","NA"
