"Station Name","MONTREAL INTL A"
"Province","QUEBEC"
"Latitude","45.47"
"Longitude","-73.74"
"Elevation","36.00"
"Climate Identifier","7025251"
"WMO Identifier","71627"
"TC Identifier","YUL"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2017-06-01 00:00","2017","06","01","00:00","15.2","","10.4","","73","","19","","8","","24.1","","100.55","","","","","","NA"
"2017-06-01 01:00","2017","06","01","01:00","14.8","","10.7","","76","","24","","11","","24.1","","100.52","","","","","","Cloudy"
"2017-06-01 02:00","2017","06","01","02:00","14.6","","11.2","","80","","24","","12","","24.1","","100.49","","","","","","NA"
"2017-06-01 03:00","2017","06","01","03:00","14.9","","10.8","","76","","23","","17","","24.1","","100.44","","","","","","NA"
"2017-06-01 04:00","2017","06","01","04:00","14.5","","10.4","","76","","23","","17","","24.1","","100.44","","","","","","Mostly Cloudy"
"2017-06-01 05:00","2017","06","01","05:00","14.4","","9.9","","74","","24","","23","","24.1","","100.49","","","","","","NA"
"2017-06-01 06:00","2017","06","01","06:00","14.2","","9.5","","73","","24","","19","","24.1","","100.53","","","","","","NA"
"2017-06-01 07:00","2017","06","01","07:00","14.5","","8.5","","67","","24","","27","","24.1","","100.55","","","","","","Mostly Cloudy"
"2017-06-01 08:00","2017","06","01","08:00","14.6","","8.2","","65","","24","","30","","48.3","","100.54","","","","","","NA"
"2017-06-01 09:00","2017","06","01","09:00","16.3","","7.8","","57","","24","","40","","48.3","","100.53","","","","","","NA"
"2017-06-01 10:00","2017","06","01","10:00","17.3","","9.1","","58","","23","","31","","48.3","","100.51","","","","","","Mostly Cloudy"
"2017-06-01 11:00","2017","06","01","11:00","17.7","","8.0","","53","","22","","32","","48.3","","100.50","","","","","","NA"
"2017-06-01 12:00","2017","06","01","12:00","18.2","","6.8","","47","","26","","30","","48.3","","100.50","","","","","","NA"
"2017-06-01 13:00","2017","06","01","13:00","17.1","","4.5","","43","","27","","38","","48.3","","100.47","","","","","","Mostly Cloudy"
"2017-06-01 14:00","2017","06","01","14:00","17.6","","4.3","","41","","26","","28","","48.3","","100.50","","","","","","NA"
"2017-06-01 15:00","2017","06","01","15:00","16.5","","4.6","","45","","27","","32","","48.3","","100.53","","","","","","NA"
"2017-06-01 16:00","2017","06","01","16:00","17.0","","5.7","","47","","25","","28","","48.3","","100.53","","","","","","Cloudy"
"2017-06-01 17:00","2017","06","01","17:00","16.2","","5.0","","47","","26","","35","","48.3","","100.55","","","","","","NA"
"2017-06-01 18:00","2017","06","01","18:00","16.4","","5.5","","48","","28","","30","","48.3","","100.55","","","","","","NA"
"2017-06-01 19:00","2017","06","01","19:00","14.9","","4.8","","51","","28","","25","","48.3","","100.58","","","","","","Mostly Cloudy"
"2017-06-01 20:00","2017","06","01","20:00","13.7","","5.1","","56","","29","","15","","24.1","","100.63","","","","","","NA"
"2017-06-01 21:00","2017","06","01","21:00","13.6","","4.9","","56","","28","","18","","24.1","","100.70","","","","","","NA"
"2017-06-01 22:00","2017","06","01","22:00","12.2","","5.3","","62","","27","","14","","24.1","","100.72","","","","","","Mainly Clear"
"2017-06-01 23:00","2017","06","01","23:00","11.1","","6.5","","73","","24","","12","","24.1","","100.74","","","","","","NA"
"2017-06-02 00:00","2017","06","02","00:00","10.2","","6.0","","75","","25","","9","","24.1","","100.72","","","","","","NA"
"2017-06-02 01:00","2017","06","02","01:00","10.0","","5.7","","75","","23","","9","","24.1","","100.70","","","","","","Mainly Clear"
"2017-06-02 02:00","2017","06","02","02:00","9.2","","5.4","","77","","25","","8","","24.1","","100.68","","","","","","NA"
"2017-06-02 03:00","2017","06","02","03:00","8.8","","5.9","","82","","22","","11","","24.1","","100.67","","","","","","NA"
"2017-06-02 04:00","2017","06","02","04:00","8.7","","6.0","","83","","23","","11","","24.1","","100.69","","","","","","Mainly Clear"
"2017-06-02 05:00","2017","06","02","05:00","9.0","","6.3","","83","","24","","15","","24.1","","100.70","","","","","","NA"
"2017-06-02 06:00","2017","06","02","06:00","9.4","","6.4","","81","","25","","19","","24.1","","100.73","","","","","","NA"
"2017-06-02 07:00","2017","06","02","07:00","10.3","","7.2","","81","","25","","16","","24.1","","100.75","","","","","","Rain"
"2017-06-02 08:00","2017","06","02","08:00","10.2","","7.5","","84","","26","","19","","24.1","","100.78","","","","","","Rain"
"2017-06-02 09:00","2017","06","02","09:00","9.7","","8.3","","91","","26","","15","","16.1","","100.78","","","","","","Rain"
"2017-06-02 10:00","2017","06","02","10:00","10.6","","8.3","","86","","26","","12","","24.1","","100.79","","","","","","Rain"
"2017-06-02 11:00","2017","06","02","11:00","11.7","","7.4","","74","","25","","18","","24.1","","100.78","","","","","","NA"
"2017-06-02 12:00","2017","06","02","12:00","12.9","","7.3","","68","","26","","23","","24.1","","100.77","","","","","","NA"
"2017-06-02 13:00","2017","06","02","13:00","14.1","","8.4","","68","","28","","16","","24.1","","100.74","","","","","","Mostly Cloudy"
"2017-06-02 14:00","2017","06","02","14:00","13.5","","5.9","","60","","28","","24","","48.3","","100.75","","","","","","NA"
"2017-06-02 15:00","2017","06","02","15:00","15.5","","6.1","","53","","25","","27","","48.3","","100.73","","","","","","NA"
"2017-06-02 16:00","2017","06","02","16:00","14.8","","4.9","","51","","27","","29","","48.3","","100.75","","","","","","Cloudy"
"2017-06-02 17:00","2017","06","02","17:00","14.5","","4.9","","52","","26","","27","","48.3","","100.74","","","","","","NA"
"2017-06-02 18:00","2017","06","02","18:00","13.7","","4.5","","53","","29","","23","","48.3","","100.79","","","","","","NA"
"2017-06-02 19:00","2017","06","02","19:00","11.4","","6.6","","72","","31","","16","","24.1","","100.86","","","","","","Rain"
"2017-06-02 20:00","2017","06","02","20:00","10.6","","8.1","","84","","31","","8","","24.1","","100.88","","","","","","Rain"
"2017-06-02 21:00","2017","06","02","21:00","10.6","","7.9","","84","","22","","7","","24.1","","100.88","","","","","","Rain"
"2017-06-02 22:00","2017","06","02","22:00","10.4","","8.1","","85","","23","","5","","24.1","","100.87","","","","","","Rain"
"2017-06-02 23:00","2017","06","02","23:00","10.7","","8.4","","86","","27","","15","","24.1","","100.86","","","","","","Rain"
"2017-06-03 00:00","2017","06","03","00:00","10.6","","8.2","","85","","29","","9","","24.1","","100.83","","","","","","Rain"
"2017-06-03 01:00","2017","06","03","01:00","10.6","","8.4","","86","","27","","7","","24.1","","100.80","","","","","","Cloudy"
"2017-06-03 02:00","2017","06","03","02:00","10.4","","7.9","","84","","28","","7","","24.1","","100.77","","","","","","NA"
"2017-06-03 03:00","2017","06","03","03:00","10.2","","7.1","","81","","29","","14","","24.1","","100.76","","","","","","Rain"
"2017-06-03 04:00","2017","06","03","04:00","9.7","","7.3","","85","","28","","14","","24.1","","100.79","","","","","","Cloudy"
"2017-06-03 05:00","2017","06","03","05:00","10.0","","7.3","","83","","29","","14","","24.1","","100.84","","","","","","NA"
"2017-06-03 06:00","2017","06","03","06:00","10.4","","7.3","","81","","27","","16","","24.1","","100.87","","","","","","NA"
"2017-06-03 07:00","2017","06","03","07:00","11.1","","7.4","","77","","27","","21","","24.1","","100.90","","","","","","Mostly Cloudy"
"2017-06-03 08:00","2017","06","03","08:00","11.6","","7.3","","75","","29","","19","","24.1","","100.92","","","","","","NA"
"2017-06-03 09:00","2017","06","03","09:00","12.4","","7.8","","73","","27","","18","","24.1","","100.92","","","","","","Rain Showers"
"2017-06-03 10:00","2017","06","03","10:00","11.9","","8.1","","77","","27","","20","","24.1","","100.94","","","","","","Rain Showers"
"2017-06-03 11:00","2017","06","03","11:00","11.9","","8.6","","80","","29","","17","","24.1","","100.94","","","","","","Rain Showers"
"2017-06-03 12:00","2017","06","03","12:00","12.9","","8.0","","72","","29","","23","","24.1","","100.96","","","","","","NA"
"2017-06-03 13:00","2017","06","03","13:00","14.2","","8.6","","68","","30","","15","","24.1","","100.95","","","","","","Cloudy"
"2017-06-03 14:00","2017","06","03","14:00","15.4","","8.9","","65","","27","","19","","24.1","","100.90","","","","","","NA"
"2017-06-03 15:00","2017","06","03","15:00","16.4","","9.1","","62","","27","","18","","24.1","","100.88","","","","","","NA"
"2017-06-03 16:00","2017","06","03","16:00","17.1","","9.2","","59","","27","","19","","48.3","","100.87","","","","","","Mostly Cloudy"
"2017-06-03 17:00","2017","06","03","17:00","17.3","","8.8","","57","","31","","18","","48.3","","100.90","","","","","","NA"
"2017-06-03 18:00","2017","06","03","18:00","17.1","","9.2","","59","","28","","18","","24.1","","100.95","","","","","","NA"
"2017-06-03 19:00","2017","06","03","19:00","16.8","","8.8","","59","","28","","17","","24.1","","100.98","","","","","","Mostly Cloudy"
"2017-06-03 20:00","2017","06","03","20:00","16.0","","9.2","","64","","29","","11","","24.1","","101.01","","","","","","NA"
"2017-06-03 21:00","2017","06","03","21:00","16.1","","9.3","","64","","30","","10","","24.1","","101.05","","","","","","NA"
"2017-06-03 22:00","2017","06","03","22:00","15.5","","9.4","","67","","25","","7","","24.1","","101.01","","","","","","Mostly Cloudy"
"2017-06-03 23:00","2017","06","03","23:00","14.4","","10.6","","78","","23","","7","","24.1","","101.00","","","","","","NA"
"2017-06-04 00:00","2017","06","04","00:00","13.8","","10.1","","78","","22","","5","","24.1","","101.00","","","","","","NA"
"2017-06-04 01:00","2017","06","04","01:00","11.6","","9.6","","87","","36","","2","","24.1","","101.03","","","","","","Clear"
"2017-06-04 02:00","2017","06","04","02:00","10.9","","8.9","","88","","36","","3","","24.1","","101.03","","","","","","NA"
"2017-06-04 03:00","2017","06","04","03:00","10.6","","8.2","","85","","36","","2","","24.1","","100.99","","","","","","NA"
"2017-06-04 04:00","2017","06","04","04:00","9.8","","8.6","","92","","16","","3","","48.3","","100.96","","","","","","Mostly Cloudy"
"2017-06-04 05:00","2017","06","04","05:00","11.0","","9.4","","90","","22","","5","","48.3","","100.98","","","","","","NA"
"2017-06-04 06:00","2017","06","04","06:00","13.1","","10.7","","85","","21","","6","","48.3","","100.98","","","","","","NA"
"2017-06-04 07:00","2017","06","04","07:00","14.4","","10.8","","79","","20","","11","","48.3","","101.00","","","","","","Mainly Clear"
"2017-06-04 08:00","2017","06","04","08:00","16.4","","11.2","","71","","21","","9","","48.3","","100.97","","","","","","NA"
"2017-06-04 09:00","2017","06","04","09:00","17.4","","10.6","","64","","21","","8","","48.3","","100.97","","","","","","NA"
"2017-06-04 10:00","2017","06","04","10:00","18.6","","11.1","","61","","21","","13","","48.3","","100.92","","","","","","Mostly Cloudy"
"2017-06-04 11:00","2017","06","04","11:00","19.7","","11.7","","59","","21","","5","","48.3","","100.83","","","","","","NA"
"2017-06-04 12:00","2017","06","04","12:00","21.3","","12.3","","56","","22","","10","","48.3","","100.73","","","","","","NA"
"2017-06-04 13:00","2017","06","04","13:00","21.9","","10.8","","49","","18","","15","","48.3","","100.67","","","","","","Mostly Cloudy"
"2017-06-04 14:00","2017","06","04","14:00","20.9","","9.4","","47","","22","","11","","48.3","","100.60","","","","","","NA"
"2017-06-04 15:00","2017","06","04","15:00","20.9","","9.2","","47","","22","","14","","24.1","","100.56","","","","","","NA"
"2017-06-04 16:00","2017","06","04","16:00","19.9","","11.0","","56","","16","","22","","24.1","","100.59","","","","","","Cloudy"
"2017-06-04 17:00","2017","06","04","17:00","18.0","","11.6","","66","","19","","22","","24.1","","100.61","","","","","","NA"
"2017-06-04 18:00","2017","06","04","18:00","17.4","","12.2","","71","","24","","13","","24.1","","100.63","","","","","","NA"
"2017-06-04 19:00","2017","06","04","19:00","17.5","","8.6","","56","","28","","16","","24.1","","100.63","","","","","","Cloudy"
"2017-06-04 20:00","2017","06","04","20:00","16.3","","9.2","","62","","28","","13","","24.1","","100.62","","","","","","NA"
"2017-06-04 21:00","2017","06","04","21:00","16.0","","9.3","","64","","36","","2","","24.1","","100.66","","","","","","NA"
"2017-06-04 22:00","2017","06","04","22:00","15.5","","10.5","","72","","11","","6","","24.1","","100.65","","","","","","Mostly Cloudy"
"2017-06-04 23:00","2017","06","04","23:00","15.1","","9.4","","68","","7","","4","","24.1","","100.61","","","","","","NA"
"2017-06-05 00:00","2017","06","05","00:00","15.2","","11.4","","78","","10","","8","","24.1","","100.60","","","","","","NA"
"2017-06-05 01:00","2017","06","05","01:00","15.3","","11.2","","76","","9","","7","","24.1","","100.56","","","","","","Cloudy"
"2017-06-05 02:00","2017","06","05","02:00","15.3","","11.2","","76","","12","","6","","24.1","","100.51","","","","","","NA"
"2017-06-05 03:00","2017","06","05","03:00","15.2","","11.3","","78","","10","","9","","24.1","","100.47","","","","","","NA"
"2017-06-05 04:00","2017","06","05","04:00","15.3","","11.1","","76","","7","","10","","24.1","","100.46","","","","","","Cloudy"
"2017-06-05 05:00","2017","06","05","05:00","15.2","","10.6","","74","","8","","17","","24.1","","100.46","","","","","","NA"
"2017-06-05 06:00","2017","06","05","06:00","15.8","","10.7","","72","","7","","17","","24.1","","100.46","","","","","","NA"
"2017-06-05 07:00","2017","06","05","07:00","14.7","","12.2","","85","","4","","20","","48.3","","100.49","","","","","","Rain"
"2017-06-05 08:00","2017","06","05","08:00","15.2","","12.8","","85","","5","","14","","24.1","","100.47","","","","","","Rain"
"2017-06-05 09:00","2017","06","05","09:00","15.2","","13.2","","88","","6","","16","","24.1","","100.49","","","","","","Rain"
"2017-06-05 10:00","2017","06","05","10:00","15.7","","12.9","","84","","6","","14","","24.1","","100.49","","","","","","Rain"
"2017-06-05 11:00","2017","06","05","11:00","14.6","","13.1","","91","","9","","13","","12.9","","100.49","","","","","","Rain"
"2017-06-05 12:00","2017","06","05","12:00","14.3","","13.0","","92","","8","","22","","16.1","","100.50","","","","","","Rain"
"2017-06-05 13:00","2017","06","05","13:00","14.0","","12.9","","93","","8","","21","","9.7","","100.48","","","","","","Rain"
"2017-06-05 14:00","2017","06","05","14:00","14.2","","13.1","","93","","8","","26","","9.7","","100.47","","","","","","Rain"
"2017-06-05 15:00","2017","06","05","15:00","13.9","","13.0","","94","","8","","29","","6.4","","100.46","","","","","","Rain"
"2017-06-05 16:00","2017","06","05","16:00","14.0","","13.0","","94","","8","","20","","11.3","","100.46","","","","","","Rain"
"2017-06-05 17:00","2017","06","05","17:00","13.8","","12.6","","92","","7","","30","","19.3","","100.45","","","","","","Rain"
"2017-06-05 18:00","2017","06","05","18:00","13.6","","12.3","","92","","8","","32","","8.1","","100.48","","","","","","Rain"
"2017-06-05 19:00","2017","06","05","19:00","13.3","","12.2","","93","","8","","34","","16.1","","100.49","","","","","","Rain"
"2017-06-05 20:00","2017","06","05","20:00","13.2","","12.0","","92","","7","","27","","16.1","","100.57","","","","","","Rain"
"2017-06-05 21:00","2017","06","05","21:00","13.0","","12.0","","93","","8","","27","","11.3","","100.64","","","","","","Rain"
"2017-06-05 22:00","2017","06","05","22:00","12.8","","11.9","","94","","6","","25","","12.9","","100.66","","","","","","Rain"
"2017-06-05 23:00","2017","06","05","23:00","12.7","","11.7","","94","","5","","18","","16.1","","100.68","","","","","","Rain"
"2017-06-06 00:00","2017","06","06","00:00","12.2","","11.4","","94","","6","","20","","16.1","","100.70","","","","","","Rain"
"2017-06-06 01:00","2017","06","06","01:00","12.0","","10.9","","93","","6","","23","","12.9","","100.71","","","","","","Rain"
"2017-06-06 02:00","2017","06","06","02:00","11.4","","10.3","","93","","7","","21","","9.7","","100.74","","","","","","Rain,Fog"
"2017-06-06 03:00","2017","06","06","03:00","11.2","","9.9","","92","","8","","26","","12.9","","100.76","","","","","","Rain"
"2017-06-06 04:00","2017","06","06","04:00","11.2","","10.1","","93","","6","","18","","12.9","","100.80","","","","","","Rain"
"2017-06-06 05:00","2017","06","06","05:00","11.5","","10.2","","91","","7","","21","","16.1","","100.81","","","","","","Rain"
"2017-06-06 06:00","2017","06","06","06:00","11.7","","10.2","","90","","6","","25","","16.1","","100.83","","","","","","Rain"
"2017-06-06 07:00","2017","06","06","07:00","11.7","","10.5","","93","","5","","22","","16.1","","100.85","","","","","","Rain"
"2017-06-06 08:00","2017","06","06","08:00","11.5","","10.1","","90","","5","","31","","16.1","","100.88","","","","","","Rain"
"2017-06-06 09:00","2017","06","06","09:00","11.5","","10.2","","91","","5","","21","","24.1","","100.93","","","","","","Rain"
"2017-06-06 10:00","2017","06","06","10:00","11.3","","9.7","","90","","5","","28","","24.1","","100.97","","","","","","Rain"
"2017-06-06 11:00","2017","06","06","11:00","11.7","","9.9","","89","","3","","26","","24.1","","100.98","","","","","","Rain"
"2017-06-06 12:00","2017","06","06","12:00","12.1","","8.9","","81","","5","","26","","24.1","","101.00","","","","","","NA"
"2017-06-06 13:00","2017","06","06","13:00","12.6","","8.7","","77","","5","","22","","24.1","","101.02","","","","","","Cloudy"
"2017-06-06 14:00","2017","06","06","14:00","13.4","","9.1","","75","","4","","19","","24.1","","101.01","","","","","","NA"
"2017-06-06 15:00","2017","06","06","15:00","14.5","","9.4","","71","","5","","15","","24.1","","101.02","","","","","","NA"
"2017-06-06 16:00","2017","06","06","16:00","14.9","","9.5","","70","","4","","14","","24.1","","101.01","","","","","","Cloudy"
"2017-06-06 17:00","2017","06","06","17:00","15.2","","9.2","","67","","3","","10","","24.1","","100.99","","","","","","NA"
"2017-06-06 18:00","2017","06","06","18:00","15.5","","9.8","","68","","28","","5","","24.1","","100.99","","","","","","NA"
