"Station Name","MONTREAL INTL A"
"Province","QUEBEC"
"Latitude","45.47"
"Longitude","-73.74"
"Elevation","36.00"
"Climate Identifier","7025251"
"WMO Identifier","71627"
"TC Identifier","YUL"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2015-11-01 00:00","2015","11","01","00:00","5.9","","0.5","","68","","12","","9","","24.1","","101.03","","","","","","NA"
"2015-11-01 01:00","2015","11","01","01:00","6.0","","1.2","","71","","11","","10","","24.1","","100.92","","","","","","Cloudy"
"2015-11-01 02:00","2015","11","01","02:00","6.0","","1.2","","71","","14","","16","","24.1","","100.84","","","","","","NA"
"2015-11-01 03:00","2015","11","01","03:00","5.5","","2.2","","79","","11","","15","","24.1","","100.66","","","","","","NA"
"2015-11-01 04:00","2015","11","01","04:00","6.2","","3.0","","80","","13","","15","","24.1","","100.52","","","","","","Cloudy"
"2015-11-01 05:00","2015","11","01","05:00","6.2","","3.2","","81","","14","","18","","24.1","","100.43","","","","","","Rain"
"2015-11-01 06:00","2015","11","01","06:00","6.3","","3.3","","81","","14","","14","","24.1","","100.32","","","","","","Rain"
"2015-11-01 07:00","2015","11","01","07:00","6.1","","3.4","","83","","11","","9","","19.3","","100.27","","","","","","Rain"
"2015-11-01 08:00","2015","11","01","08:00","6.3","","4.1","","86","","14","","24","","19.3","","100.15","","","","","","Rain"
"2015-11-01 09:00","2015","11","01","09:00","6.2","","5.0","","92","","15","","25","","12.9","","100.02","","","","","","Rain"
"2015-11-01 10:00","2015","11","01","10:00","6.4","","5.5","","94","","14","","24","","16.1","","99.91","","","","","","Rain"
"2015-11-01 11:00","2015","11","01","11:00","7.7","","6.7","","93","","16","","19","","24.1","","99.87","","","","","","NA"
"2015-11-01 12:00","2015","11","01","12:00","9.8","","8.4","","91","","17","","17","","24.1","","99.81","","","","","","NA"
"2015-11-01 13:00","2015","11","01","13:00","12.2","","9.3","","82","","22","","36","","24.1","","99.80","","","","","","Cloudy"
"2015-11-01 14:00","2015","11","01","14:00","12.6","","9.5","","81","","21","","32","","24.1","","99.78","","","","","","Rain Showers"
"2015-11-01 15:00","2015","11","01","15:00","12.5","","9.0","","79","","23","","27","","24.1","","99.80","","","","","","NA"
"2015-11-01 16:00","2015","11","01","16:00","9.6","","7.6","","87","","25","","19","","24.1","","99.90","","","","","","Thunderstorms"
"2015-11-01 17:00","2015","11","01","17:00","10.1","","8.1","","87","","23","","21","","24.1","","100.03","","","","","","Rain Showers"
"2015-11-01 18:00","2015","11","01","18:00","9.9","","7.9","","87","","24","","27","","24.1","","100.15","","","","","","NA"
"2015-11-01 19:00","2015","11","01","19:00","9.9","","7.3","","84","","23","","35","","24.1","","100.23","","","","","","Mainly Clear"
"2015-11-01 20:00","2015","11","01","20:00","9.7","","7.0","","83","","23","","36","","24.1","","100.28","","","","","","NA"
"2015-11-01 21:00","2015","11","01","21:00","10.2","","6.8","","79","","23","","46","","24.1","","100.30","","","","","","NA"
"2015-11-01 22:00","2015","11","01","22:00","10.2","","6.4","","77","","24","","51","","24.1","","100.36","","","","","","Mainly Clear"
"2015-11-01 23:00","2015","11","01","23:00","10.4","","6.2","","75","","25","","33","","24.1","","100.43","","","","","","NA"
"2015-11-02 00:00","2015","11","02","00:00","10.5","","6.3","","75","","25","","35","","24.1","","100.52","","","","","","NA"
"2015-11-02 01:00","2015","11","02","01:00","10.4","","6.6","","77","","25","","27","","24.1","","100.61","","","","","","Rain Showers"
"2015-11-02 02:00","2015","11","02","02:00","10.2","","6.2","","76","","25","","26","","24.1","","100.69","","","","","","NA"
"2015-11-02 03:00","2015","11","02","03:00","9.7","","5.9","","77","","24","","17","","24.1","","100.77","","","","","","NA"
"2015-11-02 04:00","2015","11","02","04:00","8.5","","5.4","","81","","26","","14","","24.1","","100.83","","","","","","Mainly Clear"
"2015-11-02 05:00","2015","11","02","05:00","7.2","","5.0","","86","","25","","14","","24.1","","100.97","","","","","","NA"
"2015-11-02 06:00","2015","11","02","06:00","6.9","","4.9","","87","","24","","13","","24.1","","101.04","","","","","","NA"
"2015-11-02 07:00","2015","11","02","07:00","7.1","","5.4","","89","","24","","10","","24.1","","101.15","","","","","","Mostly Cloudy"
"2015-11-02 08:00","2015","11","02","08:00","9.0","","4.3","","72","","28","","21","","24.1","","101.21","","","","","","NA"
"2015-11-02 09:00","2015","11","02","09:00","9.3","","4.1","","70","","28","","13","","24.1","","101.26","","","","","","NA"
"2015-11-02 10:00","2015","11","02","10:00","10.2","","3.5","","63","","28","","19","","24.1","","101.30","","","","","","Mainly Clear"
"2015-11-02 11:00","2015","11","02","11:00","10.2","","2.8","","60","","27","","22","","24.1","","101.29","","","","","","NA"
"2015-11-02 12:00","2015","11","02","12:00","10.3","","2.9","","60","","30","","17","","24.1","","101.31","","","","","","NA"
"2015-11-02 13:00","2015","11","02","13:00","10.5","","2.4","","57","","29","","21","","48.3","","101.29","","","","","","Mostly Cloudy"
"2015-11-02 14:00","2015","11","02","14:00","10.4","","3.0","","60","","28","","14","","48.3","","101.34","","","","","","NA"
"2015-11-02 15:00","2015","11","02","15:00","10.3","","2.7","","59","","25","","18","","48.3","","101.40","","","","","","NA"
"2015-11-02 16:00","2015","11","02","16:00","9.7","","2.8","","62","","28","","8","","48.3","","101.45","","","","","","Mostly Cloudy"
"2015-11-02 17:00","2015","11","02","17:00","9.5","","2.4","","61","","36","","4","","48.3","","101.44","","","","","","NA"
"2015-11-02 18:00","2015","11","02","18:00","7.9","","2.0","","66","","1","","7","","24.1","","101.48","","","","","","NA"
"2015-11-02 19:00","2015","11","02","19:00","7.6","","2.3","","69","","1","","5","","24.1","","101.54","","","","","","Mainly Clear"
"2015-11-02 20:00","2015","11","02","20:00","7.4","","2.1","","69","","13","","5","","24.1","","101.52","","","","","","NA"
"2015-11-02 21:00","2015","11","02","21:00","6.8","","2.5","","74","","36","","3","","24.1","","101.54","","","","","","NA"
"2015-11-02 22:00","2015","11","02","22:00","7.0","","3.4","","78","","15","","9","","24.1","","101.53","","","","","","Mostly Cloudy"
"2015-11-02 23:00","2015","11","02","23:00","6.8","","3.4","","79","","15","","7","","24.1","","101.48","","","","","","NA"
"2015-11-03 00:00","2015","11","03","00:00","6.9","","3.5","","79","","15","","3","","24.1","","101.49","","","","","","Rain Showers"
"2015-11-03 01:00","2015","11","03","01:00","7.2","","4.4","","82","","9","","7","","24.1","","101.39","","","","","","Rain Showers"
"2015-11-03 02:00","2015","11","03","02:00","7.5","","4.8","","83","","10","","8","","24.1","","101.36","","","","","","Rain Showers"
"2015-11-03 03:00","2015","11","03","03:00","7.7","","5.0","","83","","12","","10","","24.1","","101.30","","","","","","NA"
"2015-11-03 04:00","2015","11","03","04:00","7.1","","4.9","","86","","12","","4","","24.1","","101.28","","","","","","Mostly Cloudy"
"2015-11-03 05:00","2015","11","03","05:00","7.0","","5.2","","88","","10","","6","","24.1","","101.26","","","","","","NA"
"2015-11-03 06:00","2015","11","03","06:00","7.0","","5.5","","90","","2","","6","","24.1","","101.27","","","","","","Rain Showers"
"2015-11-03 07:00","2015","11","03","07:00","6.2","","5.2","","93","","5","","3","","48.3","","101.28","","","","","","Mostly Cloudy"
"2015-11-03 08:00","2015","11","03","08:00","6.8","","6.1","","95","","34","","7","","24.1","","101.35","","","","","","NA"
"2015-11-03 09:00","2015","11","03","09:00","7.8","","6.0","","88","","31","","7","","24.1","","101.39","","","","","","NA"
"2015-11-03 10:00","2015","11","03","10:00","9.3","","6.4","","82","","30","","7","","24.1","","101.43","","","","","","Mainly Clear"
"2015-11-03 11:00","2015","11","03","11:00","11.1","","7.3","","77","","21","","11","","24.1","","101.45","","","","","","NA"
"2015-11-03 12:00","2015","11","03","12:00","12.6","","7.9","","73","","22","","14","","24.1","","101.45","","","","","","NA"
"2015-11-03 13:00","2015","11","03","13:00","14.2","","8.0","","66","","25","","15","","24.1","","101.43","","","","","","Mainly Clear"
"2015-11-03 14:00","2015","11","03","14:00","15.1","","8.6","","65","","26","","17","","24.1","","101.47","","","","","","NA"
"2015-11-03 15:00","2015","11","03","15:00","15.1","","8.6","","65","","27","","20","","24.1","","101.56","","","","","","NA"
"2015-11-03 16:00","2015","11","03","16:00","14.9","","8.2","","64","","30","","15","","24.1","","101.65","","","","","","Mainly Clear"
"2015-11-03 17:00","2015","11","03","17:00","11.7","","6.0","","68","","34","","18","","48.3","","101.84","","","","","","NA"
"2015-11-03 18:00","2015","11","03","18:00","10.8","","5.6","","70","","32","","13","","24.1","","101.97","","","","","","NA"
"2015-11-03 19:00","2015","11","03","19:00","8.9","","5.1","","77","","","","0","","24.1","","102.02","","","","","","Mainly Clear"
"2015-11-03 20:00","2015","11","03","20:00","7.2","","4.0","","80","","26","","8","","24.1","","102.10","","","","","","NA"
"2015-11-03 21:00","2015","11","03","21:00","6.8","","4.3","","84","","24","","9","","24.1","","102.16","","","","","","NA"
"2015-11-03 22:00","2015","11","03","22:00","6.3","","4.0","","85","","23","","10","","24.1","","102.16","","","","","","Clear"
"2015-11-03 23:00","2015","11","03","23:00","5.8","","4.1","","89","","27","","7","","24.1","","102.21","","","","","","NA"
"2015-11-04 00:00","2015","11","04","00:00","6.1","","4.4","","89","","21","","4","","24.1","","102.25","","","","","","NA"
"2015-11-04 01:00","2015","11","04","01:00","4.7","","3.2","","90","","36","","2","","24.1","","102.27","","","","","","Clear"
"2015-11-04 02:00","2015","11","04","02:00","4.0","","3.3","","95","","16","","4","","24.1","","102.30","","","","","","NA"
"2015-11-04 03:00","2015","11","04","03:00","2.7","","1.7","","93","","2","","4","","24.1","","102.30","","","","","","NA"
"2015-11-04 04:00","2015","11","04","04:00","2.3","","1.7","","96","","3","","4","","24.1","","102.34","","","","","","Clear"
"2015-11-04 05:00","2015","11","04","05:00","1.8","","1.4","","97","","36","","3","","2.4","","102.40","","","","","","Fog"
"2015-11-04 06:00","2015","11","04","06:00","2.2","","1.8","","97","","36","","2","","12.9","","102.42","","","","","","NA"
"2015-11-04 07:00","2015","11","04","07:00","1.9","","1.5","","97","","4","","4","","24.1","","102.42","","","","","","Clear"
"2015-11-04 08:00","2015","11","04","08:00","6.6","","6.2","","97","","9","","8","","24.1","","102.45","","","","","","NA"
"2015-11-04 09:00","2015","11","04","09:00","8.8","","5.7","","81","","10","","13","","24.1","","102.48","","","","","","NA"
"2015-11-04 10:00","2015","11","04","10:00","9.8","","5.0","","72","","8","","15","","24.1","","102.46","","","","","","Mostly Cloudy"
"2015-11-04 11:00","2015","11","04","11:00","10.4","","4.8","","68","","8","","16","","48.3","","102.42","","","","","","NA"
"2015-11-04 12:00","2015","11","04","12:00","11.8","","5.7","","66","","11","","10","","48.3","","102.32","","","","","","NA"
"2015-11-04 13:00","2015","11","04","13:00","12.6","","5.6","","62","","7","","14","","48.3","","102.22","","","","","","Clear"
"2015-11-04 14:00","2015","11","04","14:00","13.2","","5.2","","58","","7","","15","","48.3","","102.14","","","","","","NA"
"2015-11-04 15:00","2015","11","04","15:00","13.5","","5.5","","58","","8","","14","","48.3","","102.07","","","","","","NA"
"2015-11-04 16:00","2015","11","04","16:00","13.1","","5.3","","59","","7","","16","","48.3","","101.99","","","","","","Clear"
"2015-11-04 17:00","2015","11","04","17:00","11.9","","5.1","","63","","7","","16","","48.3","","101.95","","","","","","NA"
"2015-11-04 18:00","2015","11","04","18:00","8.7","","5.1","","78","","4","","16","","24.1","","101.90","","","","","","NA"
"2015-11-04 19:00","2015","11","04","19:00","8.5","","4.7","","77","","3","","13","","24.1","","101.86","","","","","","Clear"
