"Station Name","MONTREAL INTL A"
"Province","QUEBEC"
"Latitude","45.47"
"Longitude","-73.74"
"Elevation","36.00"
"Climate Identifier","7025251"
"WMO Identifier","71627"
"TC Identifier","YUL"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-03-01 00:00","2018","03","01","00:00","1.0","","-0.8","","88","","36","","14","","24.1","","100.53","","","","","","NA"
"2018-03-01 01:00","2018","03","01","01:00","1.2","","-0.8","","87","","36","","9","","24.1","","100.59","","","","","","Cloudy"
"2018-03-01 02:00","2018","03","01","02:00","1.3","","-0.8","","86","","32","","6","","24.1","","100.66","","","","","","Drizzle"
"2018-03-01 03:00","2018","03","01","03:00","1.1","","-0.4","","90","","36","","3","","12.9","","100.73","","","","","","Drizzle"
"2018-03-01 04:00","2018","03","01","04:00","1.0","","0.0","","93","","25","","10","","9.7","","100.79","","","","","","Drizzle,Fog"
"2018-03-01 05:00","2018","03","01","05:00","0.8","","0.0","","95","","23","","7","","12.9","","100.84","","","","","","Drizzle"
"2018-03-01 06:00","2018","03","01","06:00","0.6","","0.0","","96","","21","","9","","8.1","","100.89","","","","","","Fog"
"2018-03-01 07:00","2018","03","01","07:00","0.4","","-0.1","","96","","35","","3","","12.9","","100.97","","","","","","Mostly Cloudy"
"2018-03-01 08:00","2018","03","01","08:00","1.0","","0.4","","96","","34","","7","","24.1","","100.97","","","","","","NA"
"2018-03-01 09:00","2018","03","01","09:00","0.7","","-2.2","","81","","1","","19","","24.1","","101.05","","","","","","NA"
"2018-03-01 10:00","2018","03","01","10:00","1.2","","-3.0","","74","","2","","14","","24.1","","101.17","","","","","","Mostly Cloudy"
"2018-03-01 11:00","2018","03","01","11:00","2.1","","-3.5","","66","","1","","14","","24.1","","101.16","","","","","","NA"
"2018-03-01 12:00","2018","03","01","12:00","2.1","","-3.2","","68","","2","","13","","24.1","","101.12","","","","","","NA"
"2018-03-01 13:00","2018","03","01","13:00","1.9","","-3.9","","66","","2","","10","","24.1","","101.15","","","","","","Mostly Cloudy"
"2018-03-01 14:00","2018","03","01","14:00","1.8","","-4.2","","65","","6","","9","","24.1","","101.24","","","","","","NA"
"2018-03-01 15:00","2018","03","01","15:00","1.6","","-3.5","","69","","3","","18","","24.1","","101.20","","","","","","NA"
"2018-03-01 16:00","2018","03","01","16:00","1.2","","-3.9","","69","","4","","20","","24.1","","101.17","","","","","","Mostly Cloudy"
"2018-03-01 17:00","2018","03","01","17:00","1.1","","-4.4","","66","","6","","22","","24.1","","101.11","","","","","","NA"
"2018-03-01 18:00","2018","03","01","18:00","0.6","","-4.0","","71","","6","","21","","24.1","","101.08","","","","","","NA"
"2018-03-01 19:00","2018","03","01","19:00","0.3","","-3.7","","75","","6","","20","","24.1","","101.07","","","","","","Mostly Cloudy"
"2018-03-01 20:00","2018","03","01","20:00","0.2","","-3.2","","78","","5","","22","","24.1","","101.05","","","","","","NA"
"2018-03-01 21:00","2018","03","01","21:00","-0.2","","-2.9","","82","","4","","23","","24.1","","101.02","","","","-6","","NA"
"2018-03-01 22:00","2018","03","01","22:00","-0.1","","-2.6","","83","","4","","27","","24.1","","100.95","","","","-6","","Cloudy"
"2018-03-01 23:00","2018","03","01","23:00","-0.5","","-3.1","","83","","4","","30","","24.1","","100.90","","","","-7","","NA"
"2018-03-02 00:00","2018","03","02","00:00","-0.9","","-3.6","","82","","4","","26","","24.1","","100.86","","","","-7","","NA"
"2018-03-02 01:00","2018","03","02","01:00","-1.3","","-4.3","","80","","3","","36","","24.1","","100.80","","","","-9","","Cloudy"
"2018-03-02 02:00","2018","03","02","02:00","-1.6","","-4.5","","80","","4","","35","","24.1","","100.75","","","","-9","","NA"
"2018-03-02 03:00","2018","03","02","03:00","-1.7","","-4.7","","80","","4","","37","","24.1","","100.68","","","","-9","","NA"
"2018-03-02 04:00","2018","03","02","04:00","-1.7","","-5.2","","77","","4","","44","","24.1","","100.63","","","","-10","","Cloudy"
"2018-03-02 05:00","2018","03","02","05:00","-1.8","","-5.1","","78","","3","","37","","24.1","","100.67","","","","-10","","NA"
"2018-03-02 06:00","2018","03","02","06:00","-2.0","","-4.9","","81","","3","","37","","24.1","","100.70","","","","-10","","NA"
"2018-03-02 07:00","2018","03","02","07:00","-2.1","","-5.4","","78","","3","","41","","24.1","","100.70","","","","-10","","Cloudy"
"2018-03-02 08:00","2018","03","02","08:00","-1.9","","-5.4","","77","","3","","39","","24.1","","100.73","","","","-10","","NA"
"2018-03-02 09:00","2018","03","02","09:00","-1.4","","-5.1","","76","","3","","40","","24.1","","100.75","","","","-9","","NA"
"2018-03-02 10:00","2018","03","02","10:00","-1.0","","-4.8","","76","","2","","38","","64.4","","100.78","","","","-9","","Cloudy"
"2018-03-02 11:00","2018","03","02","11:00","-0.6","","-4.9","","73","","2","","46","","24.1","","100.83","","","","-9","","NA"
"2018-03-02 12:00","2018","03","02","12:00","0.0","","-5.0","","69","","2","","34","","24.1","","100.90","","","","-7","","NA"
"2018-03-02 13:00","2018","03","02","13:00","0.4","","-4.4","","70","","1","","33","","24.1","","100.94","","","","","","Cloudy"
"2018-03-02 14:00","2018","03","02","14:00","1.0","","-4.0","","70","","2","","28","","24.1","","100.99","","","","","","NA"
"2018-03-02 15:00","2018","03","02","15:00","1.3","","-3.3","","71","","1","","25","","9.7","","101.06","","","","","","Snow"
"2018-03-02 16:00","2018","03","02","16:00","0.3","","-1.4","","88","","36","","17","","12.9","","101.16","","","","","","Snow"
"2018-03-02 17:00","2018","03","02","17:00","0.5","","-1.2","","88","","2","","25","","6.4","","101.27","","","","","","Snow"
"2018-03-02 18:00","2018","03","02","18:00","0.1","","-0.9","","93","","1","","14","","6.4","","101.37","","","","","","Snow"
"2018-03-02 19:00","2018","03","02","19:00","0.3","","-0.5","","94","","36","","10","","12.9","","101.44","","","","","","Snow"
"2018-03-02 20:00","2018","03","02","20:00","0.3","","-0.5","","94","","31","","5","","16.1","","101.50","","","","","","Snow"
"2018-03-02 21:00","2018","03","02","21:00","0.5","","-0.6","","93","","35","","6","","24.1","","101.52","","","","","","Snow"
"2018-03-02 22:00","2018","03","02","22:00","0.8","","-1.0","","88","","35","","9","","16.1","","101.54","","","","","","Cloudy"
"2018-03-02 23:00","2018","03","02","23:00","0.8","","-1.4","","86","","1","","12","","19.3","","101.58","","","","","","NA"
"2018-03-03 00:00","2018","03","03","00:00","0.9","","-1.9","","81","","35","","11","","24.1","","101.60","","","","","","NA"
"2018-03-03 01:00","2018","03","03","01:00","0.8","","-2.2","","80","","34","","10","","24.1","","101.65","","","","","","Cloudy"
"2018-03-03 02:00","2018","03","03","02:00","0.3","","-2.6","","81","","35","","9","","24.1","","101.65","","","","","","NA"
