"Station Name","MONTREAL INTL A"
"Province","QUEBEC"
"Current Station Operator","NAV Canada"
"Latitude","45.47"
"Longitude","-73.74"
"Elevation","36.00"
"Climate Identifier","7025251"
"WMO Identifier","71627"
"TC Identifier","YUL"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-06-01 00:00","2018","06","01","00:00","22.8","","18.5","","77","","15","","14","","24.1","","100.33","","29","","","","NA"
"2018-06-01 01:00","2018","06","01","01:00","22.6","","18.6","","78","","15","","17","","24.1","","100.33","","29","","","","Cloudy"
"2018-06-01 02:00","2018","06","01","02:00","22.2","","18.7","","81","","16","","12","","24.1","","100.31","","29","","","","NA"
"2018-06-01 03:00","2018","06","01","03:00","21.9","","18.8","","82","","14","","8","","24.1","","100.29","","29","","","","NA"
"2018-06-01 04:00","2018","06","01","04:00","21.9","","18.9","","83","","14","","10","","24.1","","100.28","","29","","","","Cloudy"
"2018-06-01 05:00","2018","06","01","05:00","21.5","","19.1","","86","","17","","7","","24.1","","100.32","","28","","","","NA"
"2018-06-01 06:00","2018","06","01","06:00","21.4","","19.5","","89","","15","","11","","24.1","","100.31","","29","","","","NA"
"2018-06-01 07:00","2018","06","01","07:00","22.5","","20.2","","87","","19","","7","","24.1","","100.31","","30","","","","Rain Showers"
"2018-06-01 08:00","2018","06","01","08:00","23.4","","20.6","","84","","19","","10","","24.1","","100.33","","31","","","","NA"
"2018-06-01 09:00","2018","06","01","09:00","25.3","","21.2","","77","","21","","10","","24.1","","100.34","","34","","","","NA"
"2018-06-01 10:00","2018","06","01","10:00","26.1","","20.9","","73","","21","","13","","24.1","","100.32","","34","","","","Cloudy"
"2018-06-01 11:00","2018","06","01","11:00","26.9","","21.9","","73","","21","","8","","24.1","","100.31","","36","","","","NA"
"2018-06-01 12:00","2018","06","01","12:00","27.0","","21.3","","71","","27","","6","","24.1","","100.27","","36","","","","NA"
"2018-06-01 13:00","2018","06","01","13:00","28.9","","20.7","","61","","27","","19","","24.1","","100.21","","37","","","","Mostly Cloudy"
"2018-06-01 14:00","2018","06","01","14:00","29.1","","20.7","","60","","23","","14","","24.1","","100.13","","37","","","","NA"
"2018-06-01 15:00","2018","06","01","15:00","29.3","","21.2","","61","","24","","12","","24.1","","100.10","","38","","","","NA"
"2018-06-01 16:00","2018","06","01","16:00","28.6","","20.8","","62","","30","","13","","24.1","","100.10","","37","","","","Cloudy"
"2018-06-01 17:00","2018","06","01","17:00","28.1","","21.1","","65","","28","","14","","24.1","","100.11","","37","","","","NA"
"2018-06-01 18:00","2018","06","01","18:00","27.4","","21.2","","69","","29","","10","","24.1","","100.11","","36","","","","NA"
"2018-06-01 19:00","2018","06","01","19:00","27.2","","20.4","","65","","31","","12","","24.1","","100.16","","35","","","","Cloudy"
"2018-06-01 20:00","2018","06","01","20:00","26.4","","20.2","","68","","33","","12","","24.1","","100.21","","34","","","","NA"
"2018-06-01 21:00","2018","06","01","21:00","25.7","","19.2","","67","","35","","12","","24.1","","100.26","","33","","","","NA"
"2018-06-01 22:00","2018","06","01","22:00","25.2","","18.2","","65","","36","","17","","24.1","","100.31","","31","","","","Cloudy"
"2018-06-01 23:00","2018","06","01","23:00","22.4","","14.4","","60","","36","","34","","24.1","","100.39","","26","","","","NA"
"2018-06-02 00:00","2018","06","02","00:00","20.1","","13.5","","65","","1","","17","","24.1","","100.48","","","","","","NA"
"2018-06-02 01:00","2018","06","02","01:00","18.6","","12.4","","67","","36","","28","","24.1","","100.54","","","","","","Mostly Cloudy"
"2018-06-02 02:00","2018","06","02","02:00","16.9","","11.1","","68","","36","","25","","24.1","","100.61","","","","","","NA"
"2018-06-02 03:00","2018","06","02","03:00","16.2","","10.8","","70","","36","","21","","24.1","","100.71","","","","","","NA"
"2018-06-02 04:00","2018","06","02","04:00","15.3","","9.7","","69","","1","","23","","24.1","","100.77","","","","","","Mostly Cloudy"
"2018-06-02 05:00","2018","06","02","05:00","14.8","","9.0","","68","","1","","23","","24.1","","100.84","","","","","","NA"
"2018-06-02 06:00","2018","06","02","06:00","15.0","","8.7","","66","","1","","17","","24.1","","100.88","","","","","","NA"
"2018-06-02 07:00","2018","06","02","07:00","16.0","","8.8","","62","","1","","17","","24.1","","100.94","","","","","","Mainly Clear"
"2018-06-02 08:00","2018","06","02","08:00","16.9","","9.2","","60","","1","","22","","48.3","","100.99","","","","","","NA"
"2018-06-02 09:00","2018","06","02","09:00","17.9","","9.0","","56","","36","","18","","48.3","","101.02","","","","","","NA"
"2018-06-02 10:00","2018","06","02","10:00","18.9","","10.0","","56","","5","","25","","48.3","","101.04","","","","","","Clear"
"2018-06-02 11:00","2018","06","02","11:00","20.0","","10.4","","54","","5","","21","","48.3","","101.01","","","","","","NA"
"2018-06-02 12:00","2018","06","02","12:00","21.1","","9.1","","46","","3","","23","","48.3","","100.97","","","","","","NA"
"2018-06-02 13:00","2018","06","02","13:00","22.5","","7.2","","37","","2","","20","","48.3","","100.98","","","","","","Clear"
"2018-06-02 14:00","2018","06","02","14:00","23.9","","2.9","","25","","1","","28","","48.3","","100.98","","","","","","NA"
"2018-06-02 15:00","2018","06","02","15:00","23.9","","5.7","","30","","4","","18","","48.3","","101.00","","","","","","NA"
"2018-06-02 16:00","2018","06","02","16:00","24.5","","4.8","","27","","3","","28","","48.3","","101.00","","","","","","Clear"
"2018-06-02 17:00","2018","06","02","17:00","24.4","","5.4","","29","","3","","22","","48.3","","100.99","","","","","","NA"
"2018-06-02 18:00","2018","06","02","18:00","23.6","","4.2","","28","","5","","20","","48.3","","101.02","","","","","","NA"
"2018-06-02 19:00","2018","06","02","19:00","22.3","","2.7","","27","","5","","22","","48.3","","101.04","","","","","","Mainly Clear"
"2018-06-02 20:00","2018","06","02","20:00","21.2","","0.6","","25","","5","","23","","48.3","","101.11","","","","","","NA"
"2018-06-02 21:00","2018","06","02","21:00","19.9","","-0.2","","26","","5","","30","","24.1","","101.13","","","","","","NA"
"2018-06-02 22:00","2018","06","02","22:00","18.4","","-0.4","","28","","4","","18","","24.1","","101.16","","","","","","Clear"
"2018-06-02 23:00","2018","06","02","23:00","17.2","","2.0","","36","","4","","19","","24.1","","101.21","","","","","","NA"
"2018-06-03 00:00","2018","06","03","00:00","16.6","","4.5","","44","","5","","19","","24.1","","101.22","","","","","","NA"
"2018-06-03 01:00","2018","06","03","01:00","14.9","","4.6","","50","","5","","19","","24.1","","101.24","","","","","","Clear"
"2018-06-03 02:00","2018","06","03","02:00","12.7","","5.0","","59","","4","","17","","24.1","","101.27","","","","","","NA"
"2018-06-03 03:00","2018","06","03","03:00","11.8","","4.6","","61","","4","","17","","24.1","","101.30","","","","","","NA"
"2018-06-03 04:00","2018","06","03","04:00","11.6","","3.7","","58","","2","","18","","48.3","","101.31","","","","","","Clear"
"2018-06-03 05:00","2018","06","03","05:00","11.7","","2.8","","54","","4","","27","","48.3","","101.29","","","","","","NA"
"2018-06-03 06:00","2018","06","03","06:00","12.3","","2.6","","51","","5","","34","","48.3","","101.35","","","","","","NA"
"2018-06-03 07:00","2018","06","03","07:00","13.9","","2.8","","47","","5","","28","","48.3","","101.37","","","","","","Clear"
"2018-06-03 08:00","2018","06","03","08:00","15.2","","2.4","","42","","6","","27","","48.3","","101.35","","","","","","NA"
"2018-06-03 09:00","2018","06","03","09:00","17.1","","4.2","","42","","5","","24","","48.3","","101.33","","","","","","NA"
"2018-06-03 10:00","2018","06","03","10:00","19.2","","2.7","","33","","6","","24","","48.3","","101.26","","","","","","Clear"
"2018-06-03 11:00","2018","06","03","11:00","20.5","","1.6","","28","","6","","22","","48.3","","101.23","","","","","","NA"
"2018-06-03 12:00","2018","06","03","12:00","22.0","","2.3","","27","","8","","22","","48.3","","101.14","","","","","","NA"
"2018-06-03 13:00","2018","06","03","13:00","22.8","","1.4","","24","","7","","19","","48.3","","101.05","","","","","","Clear"
"2018-06-03 14:00","2018","06","03","14:00","23.7","","3.6","","27","","6","","20","","48.3","","100.92","","","","","","NA"
"2018-06-03 15:00","2018","06","03","15:00","24.0","","4.1","","27","","5","","18","","48.3","","100.81","","","","","","NA"
"2018-06-03 16:00","2018","06","03","16:00","24.6","","4.6","","27","","8","","17","","48.3","","100.74","","","","","","Mainly Clear"
"2018-06-03 17:00","2018","06","03","17:00","24.8","","6.0","","29","","7","","20","","48.3","","100.64","","","","","","NA"
"2018-06-03 18:00","2018","06","03","18:00","24.9","","8.5","","35","","8","","16","","48.3","","100.61","","26","","","","NA"
"2018-06-03 19:00","2018","06","03","19:00","24.4","","7.9","","35","","12","","16","","48.3","","100.59","","25","","","","Mostly Cloudy"
"2018-06-03 20:00","2018","06","03","20:00","23.2","","12.0","","49","","14","","16","","24.1","","100.57","","25","","","","NA"
"2018-06-03 21:00","2018","06","03","21:00","22.4","","10.7","","47","","16","","28","","24.1","","100.55","","","","","","Rain Showers"
"2018-06-03 22:00","2018","06","03","22:00","20.9","","10.2","","50","","17","","22","","24.1","","100.52","","","","","","Rain Showers"
"2018-06-03 23:00","2018","06","03","23:00","16.6","","12.0","","74","","18","","30","","8.1","","100.56","","","","","","Rain,Fog"
"2018-06-04 00:00","2018","06","04","00:00","13.8","","11.7","","87","","16","","25","","9.7","","100.52","","","","","","Rain,Fog"
