"Station Name","MONTREAL INTL A"
"Province","QUEBEC"
"Latitude","45.47"
"Longitude","-73.74"
"Elevation","36.00"
"Climate Identifier","7025251"
"WMO Identifier","71627"
"TC Identifier","YUL"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2014-11-01 00:00","2014","11","01","00:00","3.4","","-3.4","","61","","3","","24","","24.1","","101.52","","","","","","NA"
"2014-11-01 01:00","2014","11","01","01:00","3.2","","-3.0","","64","","1","","24","","24.1","","101.48","","","","","","Cloudy"
"2014-11-01 02:00","2014","11","01","02:00","3.0","","-2.1","","69","","2","","19","","24.1","","101.47","","","","","","NA"
"2014-11-01 03:00","2014","11","01","03:00","2.5","","-1.9","","73","","2","","22","","24.1","","101.41","","","","","","NA"
"2014-11-01 04:00","2014","11","01","04:00","2.1","","-2.2","","73","","1","","27","","24.1","","101.41","","","","","","Mainly Clear"
"2014-11-01 05:00","2014","11","01","05:00","1.9","","-2.3","","74","","2","","23","","24.1","","101.46","","","","","","NA"
"2014-11-01 06:00","2014","11","01","06:00","2.3","","-2.2","","72","","1","","28","","24.1","","101.49","","","","","","NA"
"2014-11-01 07:00","2014","11","01","07:00","2.3","","-2.0","","73","","2","","22","","48.3","","101.55","","","","","","Mostly Cloudy"
"2014-11-01 08:00","2014","11","01","08:00","3.3","","-1.7","","70","","2","","23","","48.3","","101.57","","","","","","NA"
"2014-11-01 09:00","2014","11","01","09:00","4.2","","-1.4","","67","","3","","27","","24.1","","101.54","","","","","","NA"
"2014-11-01 10:00","2014","11","01","10:00","5.3","","-1.0","","64","","3","","27","","24.1","","101.51","","","","","","Cloudy"
"2014-11-01 11:00","2014","11","01","11:00","5.8","","-1.6","","59","","2","","33","","24.1","","101.48","","","","","","NA"
"2014-11-01 12:00","2014","11","01","12:00","6.5","","-2.1","","54","","4","","36","","24.1","","101.46","","","","","","NA"
"2014-11-01 13:00","2014","11","01","13:00","6.5","","-2.1","","54","","2","","38","","24.1","","101.37","","","","","","Cloudy"
"2014-11-01 14:00","2014","11","01","14:00","5.9","","-2.5","","55","","3","","29","","24.1","","101.42","","","","","","NA"
"2014-11-01 15:00","2014","11","01","15:00","5.4","","-1.1","","63","","3","","34","","24.1","","101.42","","","","","","NA"
