"Station Name","MONTREAL INTL A"
"Province","QUEBEC"
"Latitude","45.47"
"Longitude","-73.74"
"Elevation","36.00"
"Climate Identifier","7025251"
"WMO Identifier","71627"
"TC Identifier","YUL"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2015-01-01 00:00","2015","01","01","00:00","-6.8","","-16.6","","46","","23","","36","","24.1","","100.80","","","","-16","","NA"
"2015-01-01 01:00","2015","01","01","01:00","-6.8","","-12.5","","64","","23","","28","","24.1","","100.75","","","","-15","","Cloudy"
"2015-01-01 02:00","2015","01","01","02:00","-6.7","","-12.6","","63","","22","","31","","24.1","","100.72","","","","-15","","Snow Showers"
"2015-01-01 03:00","2015","01","01","03:00","-7.5","","-10.9","","77","","22","","25","","24.1","","100.71","","","","-16","","NA"
"2015-01-01 04:00","2015","01","01","04:00","-7.3","","-10.8","","76","","21","","34","","24.1","","100.67","","","","-16","","Snow Showers"
"2015-01-01 05:00","2015","01","01","05:00","-7.3","","-10.8","","76","","22","","27","","24.1","","100.65","","","","-16","","NA"
"2015-01-01 06:00","2015","01","01","06:00","-6.9","","-11.1","","72","","21","","30","","24.1","","100.65","","","","-15","","NA"
"2015-01-01 07:00","2015","01","01","07:00","-6.7","","-12.0","","66","","22","","26","","24.1","","100.57","","","","-15","","Mainly Clear"
"2015-01-01 08:00","2015","01","01","08:00","-6.0","","-13.2","","57","","23","","40","","24.1","","100.58","","","","-15","","NA"
"2015-01-01 09:00","2015","01","01","09:00","-5.1","","-11.7","","60","","22","","38","","24.1","","100.54","","","","-14","","NA"
"2015-01-01 10:00","2015","01","01","10:00","-4.3","","-11.0","","60","","22","","39","","16.1","","100.51","","","","-13","","Snow Showers"
"2015-01-01 11:00","2015","01","01","11:00","-3.9","","-9.4","","66","","23","","44","","4.8","","100.39","","","","-13","","Snow Showers,Blowing Snow"
"2015-01-01 12:00","2015","01","01","12:00","-4.0","","-7.8","","75","","21","","37","","4.0","","100.30","","","","-12","","Snow Showers,Blowing Snow"
"2015-01-01 13:00","2015","01","01","13:00","-4.3","","-6.6","","84","","22","","44","","2.4","","100.24","","","","-14","","Snow Showers,Blowing Snow"
"2015-01-01 14:00","2015","01","01","14:00","-3.8","","-6.4","","82","","22","","34","","4.0","","100.20","","","","-12","","Snow Showers,Blowing Snow"
"2015-01-01 15:00","2015","01","01","15:00","-3.6","","-5.9","","84","","21","","35","","2.4","","100.19","","","","-12","","Snow,Blowing Snow"
"2015-01-01 16:00","2015","01","01","16:00","-3.5","","-6.0","","83","","21","","35","","2.8","","100.22","","","","-12","","Snow,Blowing Snow"
"2015-01-01 17:00","2015","01","01","17:00","-3.8","","-5.8","","86","","21","","27","","2.4","","100.22","","","","-11","","Snow,Blowing Snow"
"2015-01-01 18:00","2015","01","01","18:00","-3.9","","-5.8","","87","","22","","38","","2.0","","100.21","","","","-12","","Snow,Blowing Snow"
"2015-01-01 19:00","2015","01","01","19:00","-3.9","","-6.2","","84","","22","","38","","4.0","","100.24","","","","-12","","Snow,Blowing Snow"
"2015-01-01 20:00","2015","01","01","20:00","-3.7","","-5.4","","88","","22","","29","","4.8","","100.22","","","","-11","","Snow,Blowing Snow"
"2015-01-01 21:00","2015","01","01","21:00","-3.5","","-6.1","","82","","23","","32","","8.1","","100.26","","","","-11","","Snow,Blowing Snow"
"2015-01-01 22:00","2015","01","01","22:00","-3.5","","-7.5","","74","","23","","32","","19.3","","100.31","","","","-11","","Blowing Snow"
"2015-01-01 23:00","2015","01","01","23:00","-3.6","","-8.9","","67","","24","","30","","24.1","","100.38","","","","-11","","Blowing Snow"
"2015-01-02 00:00","2015","01","02","00:00","-4.0","","-8.9","","69","","24","","35","","24.1","","100.38","","","","-12","","NA"
"2015-01-02 01:00","2015","01","02","01:00","-3.7","","-9.2","","66","","24","","28","","24.1","","100.43","","","","-11","","Mostly Cloudy"
"2015-01-02 02:00","2015","01","02","02:00","-3.7","","-8.6","","69","","25","","29","","24.1","","100.51","","","","-11","","Blowing Snow"
"2015-01-02 03:00","2015","01","02","03:00","-4.1","","-7.2","","79","","29","","23","","3.2","","100.62","","","","-11","","Snow Showers,Blowing Snow"
