"Station Name","MONTREAL INTL A"
"Province","QUEBEC"
"Latitude","45.47"
"Longitude","-73.74"
"Elevation","36.00"
"Climate Identifier","7025251"
"WMO Identifier","71627"
"TC Identifier","YUL"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2015-08-01 00:00","2015","08","01","00:00","19.5","","15.0","","75","","19","","13","","24.1","","100.10","","","","","","NA"
"2015-08-01 01:00","2015","08","01","01:00","19.2","","15.1","","77","","20","","16","","24.1","","100.08","","","","","","Clear"
"2015-08-01 02:00","2015","08","01","02:00","19.4","","16.3","","82","","20","","16","","24.1","","100.05","","","","","","NA"
"2015-08-01 03:00","2015","08","01","03:00","19.4","","16.1","","81","","25","","11","","24.1","","100.05","","","","","","NA"
"2015-08-01 04:00","2015","08","01","04:00","19.3","","16.2","","82","","24","","17","","24.1","","100.07","","","","","","Mostly Cloudy"
"2015-08-01 05:00","2015","08","01","05:00","19.2","","16.3","","83","","24","","16","","24.1","","100.08","","","","","","NA"
"2015-08-01 06:00","2015","08","01","06:00","18.2","","16.6","","90","","24","","18","","24.1","","100.12","","","","","","NA"
"2015-08-01 07:00","2015","08","01","07:00","18.7","","16.4","","86","","24","","16","","24.1","","100.14","","","","","","Clear"
"2015-08-01 08:00","2015","08","01","08:00","20.4","","14.8","","70","","25","","24","","24.1","","100.15","","","","","","NA"
"2015-08-01 09:00","2015","08","01","09:00","21.5","","15.0","","66","","24","","23","","24.1","","100.17","","25","","","","NA"
"2015-08-01 10:00","2015","08","01","10:00","21.5","","15.4","","68","","25","","26","","24.1","","100.20","","26","","","","Mostly Cloudy"
"2015-08-01 11:00","2015","08","01","11:00","21.9","","15.4","","66","","28","","24","","48.3","","100.22","","26","","","","NA"
"2015-08-01 12:00","2015","08","01","12:00","22.9","","14.6","","59","","25","","27","","40.2","","100.21","","27","","","","NA"
"2015-08-01 13:00","2015","08","01","13:00","23.7","","15.1","","58","","27","","24","","48.3","","100.20","","28","","","","Mainly Clear"
"2015-08-01 14:00","2015","08","01","14:00","24.3","","13.7","","51","","27","","28","","48.3","","100.16","","27","","","","NA"
"2015-08-01 15:00","2015","08","01","15:00","25.0","","14.3","","51","","27","","22","","48.3","","100.15","","29","","","","NA"
"2015-08-01 16:00","2015","08","01","16:00","25.0","","13.4","","48","","29","","21","","48.3","","100.16","","28","","","","Mostly Cloudy"
"2015-08-01 17:00","2015","08","01","17:00","20.8","","14.8","","68","","25","","36","","24.1","","100.23","","25","","","","Thunderstorms,Moderate Rain Showers"
"2015-08-01 18:00","2015","08","01","18:00","18.9","","14.2","","74","","27","","12","","48.3","","100.33","","","","","","Rain Showers"
"2015-08-01 19:00","2015","08","01","19:00","18.6","","16.3","","86","","26","","13","","24.1","","100.32","","","","","","Rain Showers"
