"Station Name","MONTREAL INTL A"
"Province","QUEBEC"
"Latitude","45.47"
"Longitude","-73.74"
"Elevation","36.00"
"Climate Identifier","7025251"
"WMO Identifier","71627"
"TC Identifier","YUL"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2017-11-01 00:00","2017","11","01","00:00","2.3","","-1.0","","79","","24","","12","","24.1","","101.74","","","","","","NA"
"2017-11-01 01:00","2017","11","01","01:00","2.2","","-0.5","","82","","26","","9","","24.1","","101.80","","","","","","Mostly Cloudy"
"2017-11-01 02:00","2017","11","01","02:00","2.8","","0.0","","82","","25","","9","","24.1","","101.91","","","","","","NA"
"2017-11-01 03:00","2017","11","01","03:00","3.1","","0.2","","81","","22","","8","","24.1","","101.93","","","","","","NA"
"2017-11-01 04:00","2017","11","01","04:00","3.0","","0.1","","81","","23","","6","","24.1","","101.95","","","","","","Mostly Cloudy"
"2017-11-01 05:00","2017","11","01","05:00","2.3","","0.2","","86","","26","","4","","24.1","","101.99","","","","","","NA"
"2017-11-01 06:00","2017","11","01","06:00","2.1","","-0.4","","83","","29","","5","","24.1","","102.03","","","","","","NA"
"2017-11-01 07:00","2017","11","01","07:00","2.6","","0.0","","83","","11","","4","","48.3","","102.12","","","","","","Cloudy"
"2017-11-01 08:00","2017","11","01","08:00","4.2","","2.0","","86","","10","","7","","48.3","","102.19","","","","","","NA"
"2017-11-01 09:00","2017","11","01","09:00","5.1","","1.4","","77","","12","","11","","48.3","","102.27","","","","","","NA"
"2017-11-01 10:00","2017","11","01","10:00","5.8","","1.0","","71","","14","","14","","48.3","","102.28","","","","","","Cloudy"
"2017-11-01 11:00","2017","11","01","11:00","6.2","","1.3","","71","","10","","9","","48.3","","102.22","","","","","","NA"
