"Station Name","MONTREAL INTL A"
"Province","QUEBEC"
"Latitude","45.47"
"Longitude","-73.74"
"Elevation","36.00"
"Climate Identifier","7025251"
"WMO Identifier","71627"
"TC Identifier","YUL"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2015-04-01 00:00","2015","04","01","00:00","-3.4","","-14.0","","44","","30","","10","","24.1","","100.83","","","","-7","","NA"
"2015-04-01 01:00","2015","04","01","01:00","-4.2","","-13.7","","48","","36","","10","","24.1","","100.90","","","","-8","","Clear"
"2015-04-01 02:00","2015","04","01","02:00","-4.6","","-14.0","","48","","2","","12","","24.1","","100.97","","","","-9","","NA"
"2015-04-01 03:00","2015","04","01","03:00","-4.8","","-15.6","","43","","1","","12","","24.1","","101.02","","","","-10","","NA"
"2015-04-01 04:00","2015","04","01","04:00","-5.7","","-15.9","","45","","35","","9","","24.1","","101.10","","","","-10","","Clear"
"2015-04-01 05:00","2015","04","01","05:00","-6.3","","-16.1","","46","","35","","10","","24.1","","101.21","","","","-11","","NA"
"2015-04-01 06:00","2015","04","01","06:00","-6.2","","-16.6","","44","","34","","10","","48.3","","101.35","","","","-11","","NA"
"2015-04-01 07:00","2015","04","01","07:00","-4.9","","-16.3","","41","","34","","11","","48.3","","101.47","","","","-9","","Mainly Clear"
"2015-04-01 08:00","2015","04","01","08:00","-4.0","","-17.0","","36","","35","","14","","48.3","","101.52","","","","-9","","NA"
"2015-04-01 09:00","2015","04","01","09:00","-3.5","","-17.3","","34","","33","","8","","48.3","","101.58","","","","-7","","NA"
"2015-04-01 10:00","2015","04","01","10:00","-3.0","","-16.8","","34","","35","","12","","48.3","","101.61","","","","-7","","Mainly Clear"
"2015-04-01 11:00","2015","04","01","11:00","-1.4","","-16.1","","32","","26","","13","","48.3","","101.62","","","","-6","","NA"
"2015-04-01 12:00","2015","04","01","12:00","-1.0","","-15.8","","32","","27","","17","","48.3","","101.59","","","","-6","","NA"
"2015-04-01 13:00","2015","04","01","13:00","0.0","","-14.5","","33","","25","","17","","48.3","","101.55","","","","-5","","Mainly Clear"
"2015-04-01 14:00","2015","04","01","14:00","0.6","","-14.3","","32","","25","","24","","48.3","","101.54","","","","","","NA"
"2015-04-01 15:00","2015","04","01","15:00","1.3","","-14.5","","30","","26","","27","","48.3","","101.55","","","","","","NA"
"2015-04-01 16:00","2015","04","01","16:00","2.0","","-12.7","","33","","26","","25","","48.3","","101.56","","","","","","Mainly Clear"
"2015-04-01 17:00","2015","04","01","17:00","1.7","","-13.7","","31","","25","","24","","48.3","","101.55","","","","","","NA"
"2015-04-01 18:00","2015","04","01","18:00","1.0","","-11.8","","38","","24","","28","","48.3","","101.58","","","","","","NA"
"2015-04-01 19:00","2015","04","01","19:00","-0.2","","-11.1","","44","","25","","20","","48.3","","101.60","","","","-5","","Mainly Clear"
"2015-04-01 20:00","2015","04","01","20:00","-1.0","","-10.2","","50","","23","","15","","24.1","","101.62","","","","-6","","NA"
"2015-04-01 21:00","2015","04","01","21:00","-1.3","","-9.7","","53","","22","","16","","24.1","","101.57","","","","-6","","NA"
"2015-04-01 22:00","2015","04","01","22:00","-1.9","","-9.1","","58","","22","","17","","24.1","","101.58","","","","-7","","Mainly Clear"
"2015-04-01 23:00","2015","04","01","23:00","-1.5","","-9.7","","54","","23","","16","","24.1","","101.63","","","","-6","","NA"
"2015-04-02 00:00","2015","04","02","00:00","-1.4","","-10.8","","49","","22","","8","","24.1","","101.61","","","","-4","","NA"
"2015-04-02 01:00","2015","04","02","01:00","-2.1","","-9.5","","57","","24","","17","","24.1","","101.56","","","","-7","","Mostly Cloudy"
"2015-04-02 02:00","2015","04","02","02:00","-2.2","","-9.8","","56","","24","","13","","24.1","","101.57","","","","-7","","NA"
"2015-04-02 03:00","2015","04","02","03:00","-2.4","","-9.8","","57","","24","","3","","24.1","","101.54","","","","-4","","NA"
"2015-04-02 04:00","2015","04","02","04:00","-2.2","","-9.4","","58","","19","","7","","24.1","","101.55","","","","-5","","Mostly Cloudy"
"2015-04-02 05:00","2015","04","02","05:00","-1.6","","-10.2","","52","","19","","6","","24.1","","101.54","","","","-4","","NA"
"2015-04-02 06:00","2015","04","02","06:00","-0.8","","-11.3","","45","","22","","13","","48.3","","101.53","","","","-5","","NA"
"2015-04-02 07:00","2015","04","02","07:00","-0.6","","-9.5","","51","","17","","9","","24.1","","101.53","","","","-4","","Cloudy"
"2015-04-02 08:00","2015","04","02","08:00","-0.8","","-8.3","","57","","12","","11","","24.1","","101.46","","","","-5","","Snow"
"2015-04-02 09:00","2015","04","02","09:00","-0.3","","-6.7","","62","","11","","16","","24.1","","101.34","","","","-5","","Snow"
"2015-04-02 10:00","2015","04","02","10:00","1.0","","-7.5","","53","","12","","13","","24.1","","101.20","","","","","","Snow"
"2015-04-02 11:00","2015","04","02","11:00","2.4","","-7.3","","49","","13","","22","","24.1","","101.00","","","","","","NA"
"2015-04-02 12:00","2015","04","02","12:00","3.4","","-5.5","","52","","12","","25","","24.1","","100.80","","","","","","NA"
"2015-04-02 13:00","2015","04","02","13:00","5.6","","-5.4","","45","","12","","20","","48.3","","100.60","","","","","","Mainly Clear"
"2015-04-02 14:00","2015","04","02","14:00","7.6","","-4.5","","42","","12","","21","","48.3","","100.45","","","","","","NA"
"2015-04-02 15:00","2015","04","02","15:00","8.7","","-3.5","","42","","12","","12","","48.3","","100.37","","","","","","NA"
"2015-04-02 16:00","2015","04","02","16:00","10.0","","-3.0","","40","","14","","14","","48.3","","100.25","","","","","","Mainly Clear"
"2015-04-02 17:00","2015","04","02","17:00","9.9","","-2.4","","42","","11","","5","","48.3","","100.16","","","","","","NA"
"2015-04-02 18:00","2015","04","02","18:00","9.6","","-1.4","","46","","3","","5","","48.3","","100.05","","","","","","NA"
"2015-04-02 19:00","2015","04","02","19:00","5.1","","0.7","","73","","2","","14","","24.1","","99.97","","","","","","Rain Showers"
"2015-04-02 20:00","2015","04","02","20:00","4.0","","0.5","","78","","4","","16","","24.1","","99.95","","","","","","Rain"
"2015-04-02 21:00","2015","04","02","21:00","3.3","","0.7","","83","","2","","8","","24.1","","99.92","","","","","","Rain"
