"Station Name","MONTREAL INTL A"
"Province","QUEBEC"
"Latitude","45.47"
"Longitude","-73.74"
"Elevation","36.00"
"Climate Identifier","7025251"
"WMO Identifier","71627"
"TC Identifier","YUL"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2017-01-01 00:00","2017","01","01","00:00","-9.0","","-10.9","","86","","1","","11","","8.1","","99.96","","","","-14","","Snow"
"2017-01-01 01:00","2017","01","01","01:00","-8.6","","-10.5","","86","","34","","10","","9.7","","100.00","","","","-14","","Snow"
"2017-01-01 02:00","2017","01","01","02:00","-8.0","","-9.9","","86","","34","","7","","3.2","","100.06","","","","-12","","Snow"
"2017-01-01 03:00","2017","01","01","03:00","-7.7","","-9.7","","86","","35","","8","","12.9","","100.10","","","","-12","","Snow"
"2017-01-01 04:00","2017","01","01","04:00","-7.1","","-9.1","","86","","36","","5","","6.4","","100.12","","","","-10","","Snow"
"2017-01-01 05:00","2017","01","01","05:00","-6.7","","-8.5","","87","","33","","5","","3.2","","100.19","","","","-9","","Snow"
"2017-01-01 06:00","2017","01","01","06:00","-6.5","","-8.0","","89","","31","","11","","8.1","","100.41","","","","-11","","Snow"
"2017-01-01 07:00","2017","01","01","07:00","-2.6","","-5.3","","82","","26","","32","","19.3","","100.60","","","","-10","","Blowing Snow"
"2017-01-01 08:00","2017","01","01","08:00","-3.0","","-7.2","","73","","26","","33","","24.1","","100.82","","","","-11","","Blowing Snow"
"2017-01-01 09:00","2017","01","01","09:00","-2.8","","-7.0","","73","","27","","31","","24.1","","100.99","","","","-10","","Blowing Snow"
"2017-01-01 10:00","2017","01","01","10:00","-2.8","","-7.4","","71","","27","","34","","24.1","","101.21","","","","-11","","Blowing Snow"
"2017-01-01 11:00","2017","01","01","11:00","-3.2","","-8.1","","69","","26","","31","","24.1","","101.33","","","","-11","","Blowing Snow"
"2017-01-01 12:00","2017","01","01","12:00","-3.4","","-8.3","","69","","26","","24","","24.1","","101.43","","","","-10","","Blowing Snow"
"2017-01-01 13:00","2017","01","01","13:00","-3.2","","-8.3","","68","","25","","24","","24.1","","101.52","","","","-10","","Blowing Snow"
"2017-01-01 14:00","2017","01","01","14:00","-3.1","","-8.6","","66","","25","","21","","24.1","","101.68","","","","-9","","Blowing Snow"
"2017-01-01 15:00","2017","01","01","15:00","-3.5","","-9.6","","63","","25","","27","","24.1","","101.81","","","","-11","","Blowing Snow"
"2017-01-01 16:00","2017","01","01","16:00","-3.9","","-10.2","","62","","26","","15","","24.1","","101.91","","","","-9","","Mainly Clear"
"2017-01-01 17:00","2017","01","01","17:00","-4.4","","-10.6","","62","","33","","5","","24.1","","102.01","","","","-7","","NA"
"2017-01-01 18:00","2017","01","01","18:00","-5.8","","-10.3","","71","","36","","3","","24.1","","102.13","","","","-7","","NA"
"2017-01-01 19:00","2017","01","01","19:00","-5.5","","-9.8","","72","","23","","5","","24.1","","102.24","","","","-8","","Mostly Cloudy"
"2017-01-01 20:00","2017","01","01","20:00","-4.6","","-9.1","","71","","36","","3","","24.1","","102.29","","","","-6","","NA"
"2017-01-01 21:00","2017","01","01","21:00","-3.4","","-7.9","","71","","13","","7","","24.1","","102.32","","","","-6","","NA"
"2017-01-01 22:00","2017","01","01","22:00","-3.9","","-7.7","","75","","11","","7","","24.1","","102.35","","","","-7","","Mainly Clear"
"2017-01-01 23:00","2017","01","01","23:00","-4.3","","-8.3","","74","","13","","7","","24.1","","102.39","","","","-7","","NA"
"2017-01-02 00:00","2017","01","02","00:00","-5.2","","-8.5","","78","","36","","2","","24.1","","102.45","","","","-6","","NA"
"2017-01-02 01:00","2017","01","02","01:00","-5.5","","-8.8","","78","","36","","3","","24.1","","102.47","","","","-7","","Mostly Cloudy"
"2017-01-02 02:00","2017","01","02","02:00","-6.4","","-8.5","","85","","0","","1","","24.1","","102.53","","","","-7","","NA"
"2017-01-02 03:00","2017","01","02","03:00","-10.2","","-11.7","","89","","26","","4","","24.1","","102.62","","","","-13","","NA"
