"Station Name","MONTREAL INTL A"
"Province","QUEBEC"
"Current Station Operator","NAV Canada"
"Latitude","45.47"
"Longitude","-73.74"
"Elevation","36.00"
"Climate Identifier","7025251"
"WMO Identifier","71627"
"TC Identifier","YUL"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-09-01 00:00","2018","09","01","00:00","19.6","","18.1","","91","","15","","15","","24.1","","101.91","","","","","","NA"
"2018-09-01 01:00","2018","09","01","01:00","19.5","","17.8","","90","","15","","11","","24.1","","101.89","","","","","","Cloudy"
"2018-09-01 02:00","2018","09","01","02:00","19.8","","17.7","","88","","14","","13","","24.1","","101.90","","","","","","NA"
"2018-09-01 03:00","2018","09","01","03:00","19.9","","17.8","","88","","15","","17","","24.1","","101.92","","","","","","Rain Showers"
"2018-09-01 04:00","2018","09","01","04:00","19.8","","17.8","","88","","15","","16","","24.1","","101.90","","","","","","Rain Showers"
"2018-09-01 05:00","2018","09","01","05:00","19.9","","17.6","","86","","15","","11","","24.1","","101.93","","","","","","NA"
"2018-09-01 06:00","2018","09","01","06:00","20.0","","17.6","","86","","15","","11","","24.1","","101.95","","26","","","","NA"
"2018-09-01 07:00","2018","09","01","07:00","20.5","","17.7","","84","","15","","19","","24.1","","101.93","","26","","","","Cloudy"
"2018-09-01 08:00","2018","09","01","08:00","21.2","","18.0","","82","","15","","17","","24.1","","101.94","","27","","","","NA"
"2018-09-01 09:00","2018","09","01","09:00","22.5","","18.3","","77","","15","","14","","24.1","","101.90","","29","","","","NA"
"2018-09-01 10:00","2018","09","01","10:00","24.1","","19.0","","73","","16","","16","","24.1","","101.87","","31","","","","Mostly Cloudy"
"2018-09-01 11:00","2018","09","01","11:00","24.4","","19.0","","71","","19","","13","","24.1","","101.91","","31","","","","NA"
"2018-09-01 12:00","2018","09","01","12:00","24.9","","19.0","","69","","17","","9","","24.1","","101.84","","32","","","","NA"
"2018-09-01 13:00","2018","09","01","13:00","26.8","","19.6","","64","","19","","10","","48.3","","101.85","","34","","","","Mostly Cloudy"
