"Station Name","MONTREAL INTL A"
"Province","QUEBEC"
"Latitude","45.47"
"Longitude","-73.74"
"Elevation","36.00"
"Climate Identifier","7025251"
"WMO Identifier","71627"
"TC Identifier","YUL"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2016-08-01 00:00","2016","08","01","00:00","21.2","","13.5","","61","","36","","1","","24.1","","101.45","","","","","","NA"
"2016-08-01 01:00","2016","08","01","01:00","20.3","","13.8","","66","","29","","14","","24.1","","101.42","","","","","","Mostly Cloudy"
"2016-08-01 02:00","2016","08","01","02:00","20.0","","14.4","","70","","31","","13","","24.1","","101.42","","","","","","NA"
"2016-08-01 03:00","2016","08","01","03:00","19.3","","14.6","","74","","31","","13","","24.1","","101.42","","","","","","NA"
"2016-08-01 04:00","2016","08","01","04:00","19.9","","15.2","","74","","32","","15","","24.1","","101.43","","","","","","Mostly Cloudy"
"2016-08-01 05:00","2016","08","01","05:00","19.3","","15.4","","78","","34","","9","","48.3","","101.45","","","","","","NA"
"2016-08-01 06:00","2016","08","01","06:00","18.9","","15.0","","78","","32","","17","","48.3","","101.49","","","","","","NA"
"2016-08-01 07:00","2016","08","01","07:00","19.4","","15.1","","76","","31","","14","","48.3","","101.53","","","","","","Mostly Cloudy"
"2016-08-01 08:00","2016","08","01","08:00","20.8","","15.7","","72","","32","","15","","48.3","","101.53","","25","","","","NA"
"2016-08-01 09:00","2016","08","01","09:00","21.4","","15.6","","69","","32","","16","","24.1","","101.54","","26","","","","NA"
"2016-08-01 10:00","2016","08","01","10:00","22.4","","15.8","","66","","32","","14","","24.1","","101.51","","27","","","","Mostly Cloudy"
"2016-08-01 11:00","2016","08","01","11:00","24.4","","15.8","","58","","4","","5","","48.3","","101.51","","29","","","","NA"
"2016-08-01 12:00","2016","08","01","12:00","26.0","","16.4","","55","","4","","14","","48.3","","101.47","","31","","","","NA"
"2016-08-01 13:00","2016","08","01","13:00","26.4","","17.6","","58","","18","","29","","48.3","","101.44","","32","","","","Mainly Clear"
"2016-08-01 14:00","2016","08","01","14:00","26.4","","16.8","","55","","17","","34","","48.3","","101.42","","32","","","","NA"
"2016-08-01 15:00","2016","08","01","15:00","25.9","","16.3","","55","","17","","33","","48.3","","101.41","","31","","","","NA"
"2016-08-01 16:00","2016","08","01","16:00","25.1","","16.4","","58","","18","","27","","48.3","","101.40","","30","","","","Mostly Cloudy"
"2016-08-01 17:00","2016","08","01","17:00","25.5","","15.1","","52","","18","","22","","48.3","","101.40","","30","","","","NA"
"2016-08-01 18:00","2016","08","01","18:00","24.6","","15.7","","57","","18","","22","","48.3","","101.41","","29","","","","NA"
"2016-08-01 19:00","2016","08","01","19:00","23.3","","15.5","","61","","18","","26","","24.1","","101.43","","28","","","","Mainly Clear"
"2016-08-01 20:00","2016","08","01","20:00","22.3","","15.8","","66","","18","","23","","24.1","","101.48","","27","","","","NA"
"2016-08-01 21:00","2016","08","01","21:00","21.7","","16.3","","71","","18","","20","","24.1","","101.52","","27","","","","NA"
"2016-08-01 22:00","2016","08","01","22:00","21.0","","16.3","","74","","20","","14","","24.1","","101.54","","26","","","","Mostly Cloudy"
"2016-08-01 23:00","2016","08","01","23:00","20.3","","16.0","","76","","21","","8","","24.1","","101.54","","25","","","","NA"
"2016-08-02 00:00","2016","08","02","00:00","20.7","","15.8","","73","","19","","17","","24.1","","101.56","","25","","","","NA"
"2016-08-02 01:00","2016","08","02","01:00","20.2","","16.1","","77","","21","","6","","24.1","","101.57","","25","","","","Mostly Cloudy"
"2016-08-02 02:00","2016","08","02","02:00","19.7","","15.4","","76","","18","","13","","24.1","","101.58","","","","","","NA"
"2016-08-02 03:00","2016","08","02","03:00","19.3","","14.4","","73","","18","","16","","24.1","","101.58","","","","","","NA"
"2016-08-02 04:00","2016","08","02","04:00","19.1","","14.8","","76","","18","","12","","24.1","","101.54","","","","","","Mainly Clear"
"2016-08-02 05:00","2016","08","02","05:00","18.9","","14.6","","76","","17","","6","","48.3","","101.56","","","","","","NA"
"2016-08-02 06:00","2016","08","02","06:00","20.0","","15.1","","73","","18","","11","","48.3","","101.59","","","","","","NA"
"2016-08-02 07:00","2016","08","02","07:00","21.1","","15.9","","72","","28","","16","","48.3","","101.64","","26","","","","Clear"
"2016-08-02 08:00","2016","08","02","08:00","22.3","","16.2","","68","","30","","16","","48.3","","101.68","","27","","","","NA"
"2016-08-02 09:00","2016","08","02","09:00","23.2","","16.4","","65","","30","","14","","48.3","","101.70","","28","","","","NA"
"2016-08-02 10:00","2016","08","02","10:00","26.0","","14.0","","47","","6","","18","","48.3","","101.72","","29","","","","Clear"
"2016-08-02 11:00","2016","08","02","11:00","26.2","","14.2","","47","","15","","4","","48.3","","101.69","","30","","","","NA"
"2016-08-02 12:00","2016","08","02","12:00","26.7","","14.7","","47","","6","","4","","48.3","","101.66","","30","","","","NA"
"2016-08-02 13:00","2016","08","02","13:00","26.9","","13.8","","44","","15","","7","","48.3","","101.62","","30","","","","Mainly Clear"
"2016-08-02 14:00","2016","08","02","14:00","27.1","","14.0","","44","","27","","8","","48.3","","101.58","","30","","","","NA"
"2016-08-02 15:00","2016","08","02","15:00","27.6","","11.9","","37","","16","","12","","48.3","","101.53","","30","","","","NA"
"2016-08-02 16:00","2016","08","02","16:00","29.2","","11.1","","32","","29","","16","","48.3","","101.52","","31","","","","Mainly Clear"
"2016-08-02 17:00","2016","08","02","17:00","27.7","","12.3","","38","","9","","10","","48.3","","101.51","","30","","","","NA"
"2016-08-02 18:00","2016","08","02","18:00","27.4","","12.8","","40","","18","","11","","48.3","","101.51","","30","","","","NA"
"2016-08-02 19:00","2016","08","02","19:00","25.1","","13.8","","49","","0","","1","","48.3","","101.52","","28","","","","Clear"
"2016-08-02 20:00","2016","08","02","20:00","23.8","","13.5","","52","","16","","6","","24.1","","101.53","","27","","","","NA"
"2016-08-02 21:00","2016","08","02","21:00","24.2","","13.9","","52","","18","","10","","24.1","","101.53","","28","","","","NA"
"2016-08-02 22:00","2016","08","02","22:00","24.4","","14.4","","53","","20","","14","","24.1","","101.56","","28","","","","Clear"
"2016-08-02 23:00","2016","08","02","23:00","21.7","","14.7","","64","","23","","4","","24.1","","101.57","","25","","","","NA"
