"Station Name","MONTREAL INTL A"
"Province","QUEBEC"
"Latitude","45.47"
"Longitude","-73.74"
"Elevation","36.00"
"Climate Identifier","7025251"
"WMO Identifier","71627"
"TC Identifier","YUL"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2016-01-01","2016","01","01","","0.0","","-4.0","","-2.0","","20.0","","0.0","","0.0","","1.2","","0.4","","18","","26","","52",""
"2016-01-02","2016","01","02","","0.4","","-4.5","","-2.1","","20.1","","0.0","","0.0","","1.0","","1.0","","18","","23","","52",""
"2016-01-03","2016","01","03","","0.2","","-14.4","","-7.1","","25.1","","0.0","","0.2","","4.8","","5.4","","17","","36","","41",""
"2016-01-04","2016","01","04","","-12.9","","-20.1","","-16.5","","34.5","","0.0","","0.0","","0.0","T","0.0","T","16","","34","","35",""
"2016-01-05","2016","01","05","","-6.3","","-21.2","","-13.8","","31.8","","0.0","","0.0","","0.0","","0.0","","15","","23","","41",""
"2016-01-06","2016","01","06","","-0.3","","-11.3","","-5.8","","23.8","","0.0","","0.0","","0.0","","0.0","","15","","23","","39",""
"2016-01-07","2016","01","07","","-0.4","","-8.7","","-4.6","","22.6","","0.0","","0.0","","0.0","","0.0","","15","","","","<31",""
"2016-01-08","2016","01","08","","2.7","","-8.6","","-3.0","","21.0","","0.0","","0.0","","0.0","","0.0","","15","","10","","32",""
"2016-01-09","2016","01","09","","4.3","","1.6","","3.0","","15.0","","0.0","","2.6","","0.8","","3.4","","15","","15","","43",""
"2016-01-10","2016","01","10","","7.7","","-0.9","","3.4","","14.6","","0.0","","9.2","","0.0","T","9.2","","7","","23","","93",""
