"Station Name","MONTREAL INTL A"
"Province","QUEBEC"
"Latitude","45.47"
"Longitude","-73.74"
"Elevation","36.00"
"Climate Identifier","7025251"
"WMO Identifier","71627"
"TC Identifier","YUL"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2014-01-01","2014","01","01","","-16.5","","-24.6","","-20.6","","38.6","","0.0","","0.0","","0.0","","0.0","","23","","29","","33",""
"2014-01-02","2014","01","02","","-22.6","","-27.3","","-25.0","","43.0","","0.0","","0.0","","1.4","","1.4","","23","","2","","48",""
"2014-01-03","2014","01","03","","-19.2","","-24.3","","-21.8","","39.8","","0.0","","0.0","","0.0","T","0.0","T","21","","3","","46",""
"2014-01-04","2014","01","04","","-8.6","","-23.3","","-16.0","","34.0","","0.0","","0.0","","0.0","","0.0","","20","","","","<31",""
"2014-01-05","2014","01","05","","0.3","","-12.6","","-6.2","","24.2","","0.0","","12.2","","1.8","","14.0","","19","","7","","41",""
"2014-01-06","2014","01","06","","7.1","","-11.1","","-2.0","","20.0","","0.0","","10.3","","0.4","","10.7","","18","","22","","89",""
"2014-01-07","2014","01","07","","-11.1","","-16.6","","-13.9","","31.9","","0.0","","0.0","","0.2","","0.2","","16","","22","","76",""
"2014-01-08","2014","01","08","","-8.7","","-14.7","","-11.7","","29.7","","0.0","","0.0","","0.0","","0.0","","16","","23","","61",""
"2014-01-09","2014","01","09","","-7.8","","-12.3","","-10.1","","28.1","","0.0","","0.0","","0.0","","0.0","","","","22","","39",""
"2014-01-10","2014","01","10","","-4.5","","-14.2","","-9.4","","27.4","","0.0","","0.0","","0.0","T","0.0","T","15","","","","<31",""
"2014-01-11","2014","01","11","","7.3","","-6.4","","0.5","","17.5","","0.0","","6.2","","0.0","","6.2","","14","","23","","65",""
"2014-01-12","2014","01","12","","4.5","","0.3","","2.4","","15.6","","0.0","","0.0","","0.0","T","0.0","T","13","","24","","67",""
"2014-01-13","2014","01","13","","5.1","","-0.9","","2.1","","15.9","","0.0","","0.0","T","0.0","","0.0","T","12","","16","","35",""
"2014-01-14","2014","01","14","","4.2","","-1.3","","1.5","","16.5","","0.0","","5.4","","0.0","","5.4","","9","","26","","32",""
"2014-01-15","2014","01","15","","1.9","","-4.1","","-1.1","","19.1","","0.0","","0.2","","0.0","T","0.2","","8","","22","","37",""
