Date,,Rachel / Papineau,Berri1,Maisonneuve_2,Maisonneuve_1,Brébeuf,Parc,PierDup,CSC (Côte Sainte-Catherine),Pont_Jacques_Cartier
07/08/2011,00:00,3134,2488,3125,1480,1697,1370,1580,988,
08/08/2011,00:00,5427,4730,6369,3271,2989,3187,1972,2113,
09/08/2011,00:00,5009,4802,6224,3547,2796,3160,2487,2009,
10/08/2011,00:00,3391,3380,4781,2515,1825,2332,888,1396,
11/08/2011,00:00,4650,4903,6264,3420,2643,3085,1500,1926,
12/08/2011,00:00,5163,5133,6249,3504,2888,2920,2170,1705,
13/08/2011,00:00,4439,4301,4367,2738,2572,1894,3423,1369,
14/08/2011,00:00,3646,3428,3761,2265,1952,1528,1832,1089,
15/08/2011,00:00,4371,4437,5558,3003,2415,2896,1150,1844,
16/08/2011,00:00,5237,5410,6680,3861,2984,3304,1504,2309,
17/08/2011,00:00,5894,6093,7528,4164,3488,3665,1980,2608,
18/08/2011,00:00,4800,4787,6079,3325,2678,2989,1017,1877,
19/08/2011,00:00,5648,5624,6400,3523,3136,2931,1166,2090,
20/08/2011,00:00,4415,4044,4271,2334,2334,1770,1492,1281,
21/08/2011,00:00,1471,1201,1473,776,665,646,151,450,
22/08/2011,00:00,4088,4378,5349,3145,2246,2852,743,1931,
23/08/2011,00:00,5363,6042,6851,4039,2997,3459,2147,2436,
24/08/2011,00:00,5405,5525,6755,3926,2904,3538,1920,2319,
25/08/2011,00:00,3554,3521,4492,2491,1895,2421,617,1425,
26/08/2011,00:00,5410,5410,6588,3881,2855,3327,2108,2237,
27/08/2011,00:00,5012,4490,4620,2597,2664,1957,3190,1503,
28/08/2011,00:00,922,558,898,322,387,389,108,260,
29/08/2011,00:00,4658,4993,6198,3374,2684,3474,1632,2501,
30/08/2011,00:00,5031,5225,6612,3646,2756,3568,1530,2583,
31/08/2011,00:00,5936,5911,7548,4061,3234,4057,2243,2903,
01/09/2011,00:00,5658,5352,7267,3929,3064,4245,1797,2923,
02/09/2011,00:00,5705,5293,6885,3823,2983,3809,2104,2635,
03/09/2011,00:00,4067,3311,4130,2184,2098,1702,2171,1319,
04/09/2011,00:00,2324,1946,2697,1341,1178,1234,888,749,
05/09/2011,00:00,1535,906,1373,612,624,639,270,485,
06/09/2011,00:00,4834,5599,7062,3719,2635,3868,1299,2643,
07/09/2011,00:00,4192,4747,6525,3324,2201,3546,897,2390,
08/09/2011,00:00,5453,6287,8183,4556,3095,4252,1821,3140,
09/09/2011,00:00,5862,6578,7657,4568,3184,3951,2142,2638,
10/09/2011,00:00,4688,4612,4637,2833,2422,1979,2740,2050,
11/09/2011,00:00,4958,3960,4334,2172,2367,3182,2960,1970,
12/09/2011,00:00,4385,5298,6837,3533,2423,3654,1437,2401,
13/09/2011,00:00,4137,4732,5830,3222,2153,3375,854,2163,
14/09/2011,00:00,4953,6057,7311,4078,2843,4174,1600,2700,
15/09/2011,00:00,2475,2430,3664,1752,1287,2060,309,1214,
16/09/2011,00:00,4397,4760,6141,3311,2290,3283,1070,2117,
17/09/2011,00:00,3792,3563,3739,2030,1906,1774,2011,1274,
18/09/2011,00:00,4035,4179,3555,1815,2099,1943,2922,1302,
19/09/2011,00:00,5116,5435,6953,3538,2680,3933,1513,2110,
20/09/2011,00:00,3441,3735,5001,2432,1816,2888,491,825,
21/09/2011,00:00,5502,6215,7644,3890,2961,4494,1785,1927,
22/09/2011,00:00,4213,5145,6263,3991,2264,3626,672,1057,
23/09/2011,00:00,5386,5497,7088,3635,2794,3934,1769,1070,
24/09/2011,00:00,3675,3186,4136,2052,1838,2034,1201,479,
25/09/2011,00:00,4330,3458,3767,1862,2196,1894,2005,522,
26/09/2011,00:00,4975,5877,7241,3866,2815,4457,1723,1188,
27/09/2011,00:00,5035,6444,7777,4161,3129,4577,1872,1236,
28/09/2011,00:00,4327,5359,6965,3523,2535,3812,1102,1067,
29/09/2011,00:00,2222,2742,3667,1857,1202,2308,305,518,
30/09/2011,00:00,3876,4213,5679,3042,2001,3282,782,774,
01/10/2011,00:00,1085,1056,1598,637,636,790,160,197,
02/10/2011,00:00,1460,511,754,350,324,403,55,140,
03/10/2011,00:00,3851,2261,3039,1584,1188,2137,276,467,
04/10/2011,00:00,5098,3501,4689,2417,1683,2849,490,669,
05/10/2011,00:00,3411,4708,6030,3287,2204,3612,989,953,
06/10/2011,00:00,3463,4309,5682,3171,2156,3401,796,878,
07/10/2011,00:00,3711,4327,5257,3000,2201,2954,1033,730,
08/10/2011,00:00,2534,3102,3122,1809,1737,1480,1735,407,
09/10/2011,00:00,2311,2986,2974,1633,1727,1431,2192,534,
10/10/2011,00:00,2971,2921,2820,1577,1974,1539,2672,523,
11/10/2011,00:00,4221,4794,6021,3376,2431,3707,1235,934,
12/10/2011,00:00,3810,4268,6004,2986,2187,3634,884,917,
13/10/2011,00:00,3749,3509,5057,2582,1643,2919,488,604,
14/10/2011,00:00,2162,1392,2090,1008,671,1266,147,259,
15/10/2011,00:00,2480,1434,1795,1025,717,937,122,180,
16/10/2011,00:00,2140,1275,1790,968,872,1006,297,250,
17/10/2011,00:00,3471,2715,4077,2095,1492,2626,369,215,
18/10/2011,00:00,3867,3334,4836,2553,1742,2852,489,67,
19/10/2011,00:00,4136,3578,5075,2700,1854,2964,600,,
20/10/2011,00:00,3126,2018,3050,1536,938,2006,188,,
21/10/2011,00:00,2420,2381,3366,1761,1229,2106,221,,
22/10/2011,00:00,2628,1697,2279,1303,904,1130,352,,
23/10/2011,00:00,1728,1581,1968,1068,1028,1225,541,,
24/10/2011,00:00,2802,2900,4337,2150,1531,2805,594,,
25/10/2011,00:00,3397,3075,4503,2337,1587,2695,502,,
26/10/2011,00:00,3989,3033,4716,2251,1654,2800,564,,
27/10/2011,00:00,3704,2876,4342,2013,1463,2581,379,,
28/10/2011,00:00,3705,2628,3716,1828,1378,2202,426,,
29/10/2011,00:00,2074,1385,1825,922,801,973,371,,
30/10/2011,00:00,1688,1348,1711,794,826,929,482,,
31/10/2011,00:00,3297,2660,3989,2012,1478,2590,447,,
01/11/2011,00:00,4168,3362,4410,2289,1636,2750,484,,
02/11/2011,00:00,3866,3234,4658,2471,1713,2943,571,,
03/11/2011,00:00,3530,150,3513,1684,1214,2065,184,713,
04/11/2011,00:00,2352,95,3407,1692,1252,2176,224,991,
05/11/2011,00:00,1901,40,1956,1019,842,1145,331,527,
06/11/2011,00:00,1938,45,1771,844,852,1110,569,627,
07/11/2011,00:00,2856,147,4025,1975,1472,2521,387,1328,
08/11/2011,00:00,3170,441,4592,2327,1725,2709,417,1598,
09/11/2011,00:00,3266,3341,4611,2394,1717,2866,578,1626,
10/11/2011,00:00,1497,1539,2078,1014,745,1518,91,644,
11/11/2011,00:00,2206,2229,3148,1528,1064,2029,225,1013,
12/11/2011,00:00,1191,1071,1323,690,593,723,118,372,
13/11/2011,00:00,1598,1287,1680,845,755,966,457,557,
14/11/2011,00:00,2468,2363,3247,1699,1304,2178,276,1133,
15/11/2011,00:00,2655,2526,3493,1865,1426,2339,261,1221,
16/11/2011,00:00,2390,637,2911,1518,897,2047,220,1102,
17/11/2011,00:00,2048,173,2510,1210,339,1833,123,882,
18/11/2011,00:00,1787,175,2115,1040,242,1543,125,695,770
19/11/2011,00:00,1336,663,1212,658,179,765,162,388,501
20/11/2011,00:00,940,567,749,428,165,494,62,238,253
21/11/2011,00:00,1715,1513,2162,1009,277,1502,113,740,667
22/11/2011,00:00,1772,1603,2141,1056,146,1565,133,765,623
23/11/2011,00:00,377,353,552,204,13,250,6,21,93
24/11/2011,00:00,630,456,854,360,14,357,25,30,178
25/11/2011,00:00,1275,1100,1506,718,108,975,115,234,398
26/11/2011,00:00,1053,706,935,500,76,568,135,224,329
27/11/2011,00:00,1080,671,834,430,119,557,133,290,311
28/11/2011,00:00,1445,1169,1722,811,175,1255,90,555,484
29/11/2011,00:00,975,811,1206,561,129,907,49,336,391
30/11/2011,00:00,1356,1104,1599,786,153,1153,104,502,443
01/12/2011,00:00,1461,1349,1688,878,140,1242,93,536,503
02/12/2011,00:00,1060,764,1257,608,88,922,63,386,307
03/12/2011,00:00,929,567,720,358,117,498,96,240,287
04/12/2011,00:00,909,609,739,373,88,453,185,271,331
05/12/2011,00:00,919,752,1076,462,116,819,40,320,278
06/12/2011,00:00,1051,841,1098,540,101,780,45,332,257
07/12/2011,00:00,1128,956,1240,626,131,876,61,412,344
08/12/2011,00:00,945,777,1142,530,80,730,44,321,239
09/12/2011,00:00,820,641,970,468,90,638,38,264,240
10/12/2011,00:00,477,282,379,221,20,227,13,45,149
11/12/2011,00:00,514,345,371,212,35,217,29,81,139
12/12/2011,00:00,1024,925,1230,629,60,780,111,331,320
13/12/2011,00:00,895,789,969,539,75,697,45,318,234
14/12/2011,00:00,1056,905,1147,568,109,807,47,411,281
15/12/2011,00:00,517,394,545,279,62,407,16,163,199
16/12/2011,00:00,1008,840,1100,567,94,692,47,300,276
17/12/2011,00:00,485,328,309,216,64,232,33,122,127
18/12/2011,00:00,427,270,311,185,53,192,30,87,158
19/12/2011,00:00,507,375,598,325,32,318,24,138,146
20/12/2011,00:00,765,631,787,456,65,467,34,197,243
21/12/2011,00:00,398,310,510,223,44,213,14,122,139
22/12/2011,00:00,389,316,495,252,14,204,14,53,111
23/12/2011,00:00,173,158,238,123,8,38,5,13,87
24/12/2011,00:00,29,39,55,35,4,8,2,1,45
25/12/2011,00:00,17,30,24,27,3,5,2,0,31
26/12/2011,00:00,30,62,65,56,8,27,1,6,47
27/12/2011,00:00,48,117,143,99,8,31,13,3,72
28/12/2011,00:00,27,77,130,77,6,47,4,5,23
29/12/2011,00:00,10,72,84,62,4,32,4,0,15
30/12/2011,00:00,15,74,91,53,9,30,7,0,10
31/12/2011,00:00,24,57,53,54,4,27,4,1,15
